model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
AdaBoost,sklearn,0.987083509574164,0.00199418220032878,0.9870834407234854,0.0019942473040571967,0.9869714285714286,0.9869713305532917,0.9869713223851136,0.9739600902261514,0.9990393207661359,41.77
HistGradientBoosting,sklearn,0.9894268239905278,0.0024579074667026106,0.9894267475711299,0.0024579926188789286,0.9869714285714286,0.9869712543159435,0.9869712434249756,0.9739723139887387,0.9989016032079204,22.48
LinearSVC,sklearn,0.9878263830482178,0.0031737372932196892,0.9878262561646703,0.0031738043857506464,0.9865142857142857,0.9865137333168024,0.9865137135883207,0.9731141682976185,,0.55
SGDClassifier,sklearn,0.9861117380476054,0.002561843996279597,0.9861116016528889,0.0025619255318281306,0.9853714285714286,0.9853712076945775,0.9853711947018218,0.9707757763944129,0.9977513794743578,0.12
DecisionTree,sklearn,0.9844546441840526,0.0027292053007077787,0.9844543831776719,0.00272921846574169,0.9821714285714286,0.9821710923109525,0.9821710746130327,0.9643832377571496,0.9886487504273633,1.66
LDA,sklearn,0.9837115420732454,0.003070724343029718,0.9837098855309847,0.003071820505581296,0.9801142857142857,0.9801116880572156,0.9801116361040743,0.9604898539895698,0.9921878200000167,0.12
RidgeClassifier,sklearn,0.9835400808394235,0.003034661974330174,0.9835383432292378,0.0030358202452803558,0.9796571428571429,0.9796544854838183,0.9796544323363519,0.9595753245195884,,0.04
KNN,sklearn,0.9677085371330584,0.004226228024554765,0.9677064363382539,0.004227892626288528,0.9654857142857143,0.9654844952826154,0.965484448397881,0.931042542378722,0.9921169759146828,0.03
QDA,sklearn,0.9648510676519824,0.0013869393929472817,0.964847467054204,0.0013868932402267475,0.9650285714285715,0.965025932927851,0.9650258634936214,0.9302052713607144,0.9818511663987549,0.12
NearestCentroid,sklearn,0.9060978401992406,0.005134190461496334,0.9059451961733324,0.005164479425726166,0.8996571428571428,0.8995711777528844,0.8995705061505075,0.8007104424770707,0.9722920214095424,0.05
CosineSimilarity,sklearn,0.905126313640632,0.004976926960327842,0.904974343491119,0.005006527834095487,0.8992,0.8991109211202315,0.8991102358980795,0.7998382274126425,,0.05
