iter	Passed	Remaining
138	3029	10048
139	3109	10217
140	3134	10204
141	3160	10192
142	3183	10173
143	3208	10158
144	3232	10143
145	3253	10118
146	3273	10088
147	3293	10057
148	3320	10049
149	3342	10028
150	3364	10004
151	3384	9974
152	3408	9958
153	3431	9939
154	3451	9908
155	3476	9895
156	3499	9873
157	3519	9846
158	3542	9824
159	3566	9806
160	3592	9794
161	3614	9771
162	3639	9757
163	3659	9728
164	3681	9706
165	3704	9685
166	3733	9679
167	3803	9780
168	3826	9759
169	3855	9751
170	3882	9739
171	3909	9728
172	3940	9726
173	3972	9725
174	3998	9710
175	4029	9706
176	4076	9741
177	4134	9802
178	4156	9775
179	4179	9751
180	4214	9755
181	4234	9725
182	4259	9706
183	4281	9680
184	4307	9662
185	4332	9642
186	4355	9619
187	4377	9594
188	4398	9565
189	4416	9530
190	4432	9491
191	4452	9460
192	4480	9447
193	4511	9442
194	4544	9438
195	4581	9444
196	4613	9437
197	4654	9449
198	4705	9482
199	4754	9508
200	4783	9495
201	4811	9480
202	4836	9458
203	4855	9424
204	4875	9394
205	4898	9368
206	4919	9339
207	4943	9316
208	4964	9288
209	4986	9260
210	5005	9228
211	5024	9195
212	5048	9172
213	5067	9139
214	5088	9111
215	5105	9076
216	5126	9048
217	5148	9020
218	5170	8995
219	5188	8962
220	5212	8938
221	5232	8908
222	5249	8875
223	5270	8847
224	5290	8817
225	5311	8789
226	5329	8757
227	5348	8726
228	5368	8697
229	5388	8668
230	5407	8638
231	5430	8613
232	5451	8586
233	5471	8558
234	5492	8531
235	5515	8506
236	5535	8477
237	5554	8448
238	5574	8419
239	5595	8393
240	5617	8368
241	5638	8341
242	5659	8314
243	5681	8288
244	5700	8260
245	5723	8235
246	5742	8206
247	5762	8178
248	5783	8152
249	5811	8136
250	5836	8115
251	5857	8089
252	5880	8064
253	5899	8036
254	5920	8010
255	5940	7983
256	5960	7954
257	5979	7926
258	6001	7902
259	6019	7872
260	6039	7844
261	6064	7823
262	6088	7801
263	6105	7770
264	6124	7742
265	6145	7716
266	6165	7689
267	6188	7665
268	6206	7637
269	6226	7610
270	6246	7583
271	6267	7557
272	6288	7532
273	6304	7501
274	6328	7478
275	6352	7456
276	6374	7432
277	6392	7404
278	6418	7384
279	6441	7361
280	6461	7335
281	6480	7307
282	6499	7280
283	6521	7256
284	6541	7230
285	6560	7202
286	6580	7176
287	6600	7150
288	6619	7123
289	6640	7098
290	6662	7074
291	6681	7047
292	6700	7020
293	6722	6997
294	6744	6972
295	6761	6944
296	6782	6919
297	6808	6899
298	6830	6875
299	6850	6850
300	6868	6822
301	6885	6794
302	6909	6772
303	6929	6747
304	6948	6720
305	6970	6697
306	6989	6670
307	7011	6647
308	7030	6620
309	7050	6595
310	7069	6569
311	7086	6541
312	7108	6517
313	7129	6493
314	7148	6467
315	7169	6443
316	7189	6418
317	7212	6396
318	7229	6368
319	7251	6344
320	7271	6319
321	7289	6293
322	7310	6268
323	7330	6244
324	7349	6218
325	7367	6192
326	7388	6168
327	7409	6144
328	7427	6118
329	7449	6095
330	7471	6072
331	7495	6050
332	7514	6024
333	7535	6000
334	7551	5973
335	7570	5947
336	7592	5925
337	7613	5901
338	7631	5875
339	7650	5850
340	7670	5825
341	7689	5800
342	7709	5776
343	7729	5752
344	7751	5729
345	7772	5705
346	7795	5683
347	7813	5657
348	7825	5628
349	7846	5604
350	7866	5580
351	7884	5555
352	7907	5532
353	7926	5508
354	7944	5483
355	7962	5457
356	7985	5435
357	8003	5410
358	8021	5385
359	8041	5361
360	8062	5337
361	8080	5312
362	8098	5287
363	8126	5269
364	8145	5244
365	8165	5220
366	8186	5197
367	8206	5173
368	8227	5150
369	8248	5127
370	8270	5104
371	8292	5082
372	8310	5057
373	8330	5033
374	8349	5009
375	8369	4986
376	8386	4960
377	8408	4938
378	8428	4914
379	8450	4892
380	8471	4869
381	8495	4848
382	8513	4823
383	8535	4801
384	8555	4777
385	8573	4752
386	8593	4729
387	8613	4706
388	8632	4682
389	8650	4657
390	8668	4633
391	8687	4609
392	8708	4587
393	8728	4563
394	8750	4541
395	8771	4518
396	8790	4495
397	8815	4474
398	8834	4450
399	8853	4426
400	8874	4403
401	8894	4380
402	8913	4357
403	8936	4335
404	8961	4314
405	8980	4291
406	8997	4266
407	9015	4242
408	9033	4218
409	9055	4196
410	9074	4172
411	9094	4149
412	9113	4126
413	9142	4107
414	9159	4083
415	9182	4061
416	9205	4039
417	9226	4017
418	9247	3994
419	9267	3971
420	9287	3948
421	9307	3925
422	9327	3903
423	9350	3881
424	9372	3859
425	9390	3835
426	9408	3811
427	9427	3788
428	9450	3766
429	9472	3744
430	9490	3721
431	9508	3697
432	9531	3675
433	9551	3653
434	9570	3630
435	9591	3607
436	9613	3585
437	9634	3563
438	9654	3540
439	9677	3518
440	9700	3497
441	9717	3473
442	9739	3451
443	9757	3428
444	9777	3405
445	9794	3382
446	9812	3358
447	9835	3337
448	9855	3314
449	9873	3291
450	9889	3267
451	9906	3243
452	9928	3221
453	9949	3199
454	9968	3176
455	9988	3154
456	10009	3131
457	10029	3109
458	10051	3087
459	10069	3064
460	10089	3042
461	10109	3019
462	10125	2996
463	10147	2974
464	10170	2952
465	10188	2929
466	10206	2906
467	10223	2883
468	10243	2861
469	10261	2838
470	10282	2816
471	10302	2793
472	10320	2771
473	10342	2749
474	10357	2725
475	10377	2703
476	10396	2680
477	10417	2658
478	10439	2637
479	10456	2614
480	10478	2592
481	10496	2569
482	10514	2547
483	10535	2525
484	10557	2503
485	10579	2481
486	10598	2459
487	10620	2437
488	10640	2415
489	10663	2393
490	10683	2371
491	10704	2349
492	10725	2327
493	10751	2306
494	10772	2284
495	10792	2263
496	10811	2240
497	10829	2218
498	10845	2195
499	10861	2172
500	10880	2149
501	10898	2127
502	10919	2105
503	10940	2083
504	10960	2061
505	10985	2040
506	11006	2019
507	11025	1996
508	11045	1974
509	11069	1953
510	11090	1931
511	11111	1909
512	11132	1888
513	11153	1866
514	11171	1843
515	11193	1822
516	11214	1800
517	11236	1778
518	11254	1756
519	11276	1734
520	11295	1712
521	11318	1691
522	11337	1669
523	11357	1647
524	11375	1625
525	11396	1603
526	11414	1581
527	11432	1558
528	11451	1536
529	11474	1515
530	11493	1493
531	11510	1471
532	11531	1449
533	11549	1427
534	11570	1405
535	11589	1383
536	11609	1362
537	11628	1340
538	11647	1318
539	11668	1296
540	11686	1274
541	11707	1252
542	11727	1231
543	11749	1209
544	11770	1187
545	11792	1166
546	11812	1144
547	11833	1122
548	11850	1100
549	11867	1078
550	11888	1057
551	11907	1035
552	11926	1013
553	11945	991
554	11963	970
555	11978	947
556	12001	926
557	12026	905
558	12050	883
559	12068	862
560	12088	840
561	12107	818
562	12128	797
563	12147	775
564	12173	754
565	12191	732
566	12208	710
567	12230	689
568	12246	667
569	12264	645
570	12281	623
571	12300	602
572	12322	580
573	12339	558
574	12357	537
575	12377	515
576	12395	494
577	12414	472
578	12435	451
579	12454	429
580	12472	407
581	12491	386
582	12511	364
583	12531	343
584	12552	321
585	12573	300
586	12591	278
587	12609	257
588	12629	235
589	12645	214
590	12667	192
591	12685	171
592	12706	149
593	12726	128
594	12751	107
595	12773	85
596	12795	64
597	12816	42
598	12834	21
599	12856	0
