iter	Logloss
124	0.1591138017
125	0.1589428307
126	0.1588891301
127	0.1587265651
128	0.1584327008
129	0.1582229545
130	0.157989741
131	0.1576793293
132	0.1574050005
133	0.1570631551
134	0.15689214
135	0.1566198777
136	0.1563182047
137	0.1560352331
138	0.1559324962
139	0.1558462463
140	0.1555719711
141	0.155439734
142	0.1552935793
143	0.1551669535
144	0.1550322871
145	0.1549049212
146	0.1547989424
147	0.1546547326
148	0.1544626689
149	0.1542465642
150	0.1540976387
151	0.1540252884
152	0.153820749
153	0.1535550899
154	0.1533991338
155	0.1531061005
156	0.1529214299
157	0.1528157641
158	0.1526672179
159	0.1524097147
160	0.1522628849
161	0.1520831089
162	0.1517754768
163	0.1516717397
164	0.1514639835
165	0.1512627389
166	0.1512086713
167	0.1510992454
168	0.1510705116
169	0.1509705958
170	0.1507982821
171	0.1504827431
172	0.1503108064
173	0.1501495156
174	0.1500041175
175	0.1497398784
176	0.1494607702
177	0.1493198217
178	0.1491052311
179	0.1489404183
180	0.1486222292
181	0.1483706648
182	0.148136102
183	0.1478326665
184	0.1476340265
185	0.1474708927
186	0.1473310619
187	0.1472153056
188	0.1470494748
189	0.1467245912
190	0.1464983916
191	0.1462674126
192	0.146009863
193	0.145754472
194	0.1457489893
195	0.1454908569
196	0.1452607327
197	0.1450678144
198	0.1448070543
199	0.1447104741
200	0.1445568714
201	0.144435234
202	0.1441978214
203	0.1439576285
204	0.1437250136
205	0.143564565
206	0.1433989362
207	0.1431566968
208	0.1429420303
209	0.1427214038
210	0.1425104891
211	0.1422425043
212	0.1421844899
213	0.1419263005
214	0.1415982625
215	0.1414802318
216	0.141436823
217	0.1413036455
218	0.1410499862
219	0.1408181646
220	0.1405354919
221	0.1401910165
222	0.1399255092
223	0.1397171158
224	0.1395939238
225	0.1393517468
226	0.1390942159
227	0.1388510961
228	0.1386366972
229	0.1384833081
230	0.1383372049
231	0.1381209038
232	0.1378858396
233	0.1376214456
234	0.1375826378
235	0.1374590364
236	0.1372596757
237	0.1370524611
238	0.1369292873
239	0.1367112375
240	0.136467787
241	0.1363621006
242	0.1361178845
243	0.1359101786
244	0.1357371608
245	0.1356166879
246	0.1353619164
247	0.1352535056
248	0.1350541096
249	0.134841871
250	0.1347889661
251	0.1346323298
252	0.1343799417
253	0.1341469757
254	0.1339089054
255	0.133623863
256	0.1336142094
257	0.1334153613
258	0.1332463526
259	0.1330151397
260	0.1329230832
261	0.1327138293
262	0.1325336918
263	0.1324566252
264	0.1322784338
265	0.1320027481
266	0.1319920391
267	0.1318357656
268	0.1317632346
269	0.1315324783
270	0.1313513855
271	0.1311611848
272	0.1310465999
273	0.1309090005
274	0.1307896584
275	0.1307595357
276	0.130618985
277	0.1304340019
278	0.1302528171
279	0.1300854365
280	0.1298772938
281	0.1297312758
282	0.1294906773
283	0.1293353979
284	0.1291958557
285	0.1289840691
286	0.1288091478
287	0.1286462394
288	0.1286264089
289	0.1284332135
290	0.1284057381
291	0.1281922758
292	0.1279023335
293	0.1277647567
294	0.1276786112
295	0.1274671013
296	0.1272149463
297	0.1271185374
298	0.1269679008
299	0.126956493
300	0.1267910557
301	0.1265928466
302	0.1265570784
303	0.1264077913
304	0.1262088455
305	0.1260365069
306	0.1258446584
307	0.1257611073
308	0.1256304479
309	0.1254118392
310	0.1254064295
311	0.1253199678
312	0.1251827631
313	0.1249809635
314	0.1248416493
315	0.1247366255
316	0.1245976991
317	0.124501112
318	0.1244042685
319	0.1243482187
320	0.1242543087
321	0.1239971022
322	0.1239184004
323	0.1237991545
324	0.1236135247
325	0.1233875006
326	0.1231791998
327	0.1230525915
328	0.1229854229
329	0.1229529236
330	0.1227353052
331	0.1225982168
332	0.1224535551
333	0.1222844768
334	0.1220771617
335	0.1218855349
336	0.1218620712
337	0.1216767038
338	0.1215297276
339	0.1214301245
340	0.1213079448
341	0.1212408408
342	0.1210762438
343	0.1209022764
344	0.1207583979
345	0.1206297653
346	0.1204922927
347	0.1203387964
348	0.120138379
349	0.1200098815
350	0.1198319116
351	0.1196751268
352	0.1195236465
353	0.1193396945
354	0.1192280107
355	0.1190698138
356	0.1189150231
357	0.1187319306
358	0.1186593161
359	0.1186057949
360	0.1184281549
361	0.1183254526
362	0.1181424821
363	0.1181155543
364	0.1179877963
365	0.1178764859
366	0.1177387922
367	0.117570362
368	0.1175347931
369	0.1174978072
370	0.1172924495
371	0.1172856919
372	0.1171684115
373	0.1169559994
374	0.1169150649
375	0.1168207659
376	0.1166680756
377	0.1165633913
378	0.1164562452
379	0.1163212438
380	0.1161737856
381	0.1160095398
382	0.1158941748
383	0.1157440132
384	0.1155904047
385	0.1155379544
386	0.1154075888
387	0.1152077205
388	0.1151181815
389	0.1149764882
390	0.1148417544
391	0.1146054836
392	0.1145521636
393	0.1144352895
394	0.1142931073
395	0.1141450313
396	0.1139874491
397	0.1138712069
398	0.1137480688
399	0.113632244
400	0.1135413573
401	0.113519334
402	0.1133116505
403	0.1132089241
404	0.1131109517
405	0.1130155054
406	0.1128773981
407	0.1127186109
408	0.1126844585
409	0.1125326434
410	0.1124155383
411	0.1123092807
412	0.1122256839
413	0.1120922525
414	0.1119423401
415	0.1117493062
416	0.1116618068
417	0.1114614992
418	0.1112859763
419	0.1112041071
420	0.1111399185
421	0.1110604866
422	0.1108684744
423	0.1106608264
424	0.1104718852
425	0.1103325242
426	0.1102136396
427	0.110132465
428	0.1100010849
429	0.1098535859
430	0.1097613785
431	0.1096913452
432	0.1096085828
433	0.1094388941
434	0.1092640896
435	0.1091381529
436	0.1090299648
437	0.1088347102
438	0.1087062956
439	0.108671226
440	0.1085340425
441	0.1083988032
442	0.1082627879
443	0.1081110304
444	0.1080496925
445	0.1078600331
446	0.1077199518
447	0.1076527321
448	0.1075527816
449	0.1074164794
450	0.1073333335
451	0.1072686961
452	0.107180402
453	0.1070826262
454	0.1069637225
455	0.1067338519
456	0.1066552951
457	0.1065716107
458	0.1063990087
459	0.1063120366
460	0.1061196866
461	0.1060463495
462	0.1059868541
463	0.1059498033
464	0.1058783921
465	0.1057703226
466	0.1057226065
467	0.1056203532
468	0.1055054238
469	0.1053914308
470	0.1053582391
471	0.105184313
472	0.1050460462
473	0.1049724472
474	0.1047678205
475	0.1046285332
476	0.1045510357
477	0.1045322063
478	0.1043298184
479	0.1042285888
480	0.1041611876
481	0.1040700034
482	0.1039452718
483	0.1036999246
484	0.1035716658
485	0.1035530206
486	0.1035156403
487	0.103484807
488	0.1033180336
489	0.103232231
490	0.103096396
491	0.1029432703
492	0.1027948731
493	0.102774823
494	0.1026360453
495	0.1024995699
496	0.1023766246
497	0.1022844898
498	0.1021549224
499	0.1020704461
500	0.1019744891
501	0.1018439421
502	0.101841843
503	0.1017786932
504	0.1016227959
505	0.1015420077
506	0.101428487
507	0.1013322166
508	0.1011843586
509	0.1010142131
510	0.1009374733
511	0.1007895223
512	0.1007100683
513	0.1006379039
514	0.1004657769
515	0.1002915121
516	0.1001246798
517	0.1001226379
518	0.09998211005
519	0.09978161871
520	0.0996266749
521	0.09958891067
522	0.09949665564
523	0.09928607452
524	0.09921782321
525	0.09914919388
526	0.09896598233
527	0.09890269272
528	0.09888796778
529	0.09879539843
530	0.09877041901
531	0.098676609
532	0.09846248283
533	0.09833214471
534	0.09813947119
535	0.09799269198
536	0.09797926338
537	0.09788076701
538	0.09778478658
539	0.09770136859
540	0.09765063854
541	0.09761531738
542	0.09747070113
543	0.09740278308
544	0.09726851139
545	0.09717077072
546	0.09712622051
547	0.09706898609
548	0.09704254757
549	0.09694560679
550	0.09682746286
551	0.09669414118
552	0.09658738477
553	0.0965594006
554	0.09653373363
555	0.09645887139
556	0.09643137646
557	0.09634541099
558	0.09624707409
559	0.09619592383
560	0.09610786634
561	0.09607760943
562	0.09590545723
563	0.09582029966
564	0.0957095073
565	0.09561493796
566	0.09555025915
567	0.095434748
568	0.09530434622
569	0.09515760269
570	0.09513421146
571	0.09510434689
572	0.09502910617
573	0.09500714278
574	0.09496839301
575	0.09492574869
576	0.09481528169
577	0.09479737797
578	0.0947163005
579	0.09448984114
580	0.09437793248
581	0.09437617263
582	0.09432485335
583	0.09423728343
584	0.09415438836
585	0.09412689323
586	0.09404070014
587	0.09397179726
588	0.09385700292
589	0.09376448103
590	0.09360094767
591	0.09342477915
592	0.09337128768
593	0.0931578188
594	0.09298636422
595	0.0929038309
596	0.0928456586
597	0.09273460736
598	0.09266504895
599	0.09252031214
