combo,alpha,penalty,max_iter,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
9,0.001,elasticnet,5000,0.7196548566545726,0.005746729886797367,0.7262963132323521,0.0041659239699822085,0.24272756576538085,1
6,0.01,l2,5000,0.7144139809269685,0.008270166723234747,0.7164088841709877,0.00829459164267959,0.17183380126953124,2
4,0.001,l2,2000,0.7117126696511704,0.009645066019255714,0.7192097987180011,0.00865826962998881,0.14710068702697754,3
5,0.001,l2,5000,0.7117126696511704,0.009645066019255714,0.7192097987180011,0.00865826962998881,0.15394325256347657,4
7,1e-05,elasticnet,5000,0.7057187877562688,0.03292841560842334,0.7117797248193362,0.02706083740933638,0.2603271484375,5
0,1e-05,l2,2000,0.705595601472783,0.023463760402454552,0.7105227289429633,0.01757029207546903,0.18174524307250978,6
1,1e-05,l2,5000,0.705595601472783,0.023463760402454552,0.7105227289429633,0.01757029207546903,0.21503400802612305,7
8,0.0001,elasticnet,5000,0.6954734183346071,0.017482519628361122,0.7108656187482139,0.012420120265730066,0.2435293674468994,8
2,0.0001,l2,2000,0.6810496189810642,0.020371988602320663,0.698519936308333,0.008073837680078029,0.2066972255706787,9
3,0.0001,l2,5000,0.6810496189810642,0.020371988602320663,0.698519936308333,0.008073837680078029,0.1663356304168701,10
