combo,max_depth,min_samples_leaf,ccp_alpha,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
13,10,1,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.3591495513916017,1
43,30,10,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.9629225730895996,2
25,20,1,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,2.191663408279419,3
1,None,1,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,2.8308905601501464,4
37,30,1,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,2.5524890422821045,5
40,30,5,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,2.3847186088562013,6
19,10,10,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.3275092601776124,7
16,10,5,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.3388698101043701,8
28,20,5,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.9793468475341798,9
31,20,10,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.9928506374359132,10
4,None,5,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,2.304998254776001,11
7,None,10,0.001,0.7461330441520898,0.00992668581585173,0.7475562813865186,0.00767912091866055,1.966294765472412,12
46,30,20,0.001,0.7457780970505496,0.010188415628893003,0.7471561997305353,0.007922501413940058,1.716383123397827,13
34,20,20,0.001,0.7457780970505496,0.010188415628893003,0.7471561997305353,0.007922501413940058,1.6870497703552245,14
10,None,20,0.001,0.7457780970505496,0.010188415628893003,0.7471561997305353,0.007922501413940058,1.7099858283996583,15
22,10,20,0.001,0.7457780970505496,0.010188415628893003,0.7471561997305353,0.007922501413940058,1.3794061660766601,16
33,20,20,0.0,0.7440541929385394,0.005709299347060572,0.7433842322296166,0.005579781683461289,1.704182004928589,17
12,10,1,0.0,0.7440383527879288,0.006175717050142296,0.74538470583432,0.006377988039808727,1.3443790435791017,18
21,10,20,0.0,0.7438148185740386,0.007739596958358468,0.7453848854774834,0.007315887901396468,1.3155362606048584,19
15,10,5,0.0,0.7426872337348664,0.008288781309353562,0.7442986812558691,0.008478085041043191,1.2967510223388672,20
9,None,20,0.0,0.7426540108457409,0.0064344074465559386,0.7419555791450618,0.006238068576717546,1.78944730758667,21
45,30,20,0.0,0.7426540108457409,0.0064344074465559386,0.7419555791450618,0.006238068576717546,1.7219262599945069,22
18,10,10,0.0,0.7414813942613105,0.008679683463716642,0.7437839709304699,0.008722378417287213,1.3359371662139892,23
6,None,10,0.0,0.7359405304198946,0.007276400689391768,0.7353824194667864,0.007357183982231546,2.0291184902191164,24
42,30,10,0.0,0.7358258117832301,0.007246599337144457,0.7352681010901074,0.007339972908297938,1.9805521488189697,25
30,20,10,0.0,0.7343801034761045,0.004793973326543826,0.7337824194667865,0.0050433308264738975,1.8673822402954101,26
27,20,5,0.0,0.7295084058355024,0.006648648379481364,0.7289823051484097,0.006387642876390794,1.9969741821289062,27
24,20,1,0.0,0.7288898942528924,0.004715343543001251,0.7286392030376025,0.004556383253042884,2.2068389892578124,28
3,None,5,0.0,0.7281316212038085,0.004780172733933292,0.7277243783938268,0.004596934855980587,2.241392135620117,29
39,30,5,0.0,0.7275592863608537,0.0046616447222161935,0.7271528191728248,0.004634601372966622,2.3235294818878174,30
38,30,1,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.6187838077545167,31
44,30,10,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.9570885181427002,32
35,20,20,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.7046614170074463,33
41,30,5,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.2504255294799806,34
47,30,20,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.7135391712188721,35
32,20,10,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.9000811576843262,36
29,20,5,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.0016886711120607,37
