combo,reg_param,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
1,0.01,0.6276425917666402,0.005114369887022413,0.6498828073327073,0.0025236903953492914,0.4831136703491211,1
2,0.05,0.600753539774334,0.00856839032143696,0.6290217776507573,0.00544134714509493,0.37063231468200686,2
3,0.1,0.5874159974270261,0.00955359570908211,0.6204488302780387,0.005851096936452272,0.32377195358276367,3
4,0.2,0.5690093635569209,0.011525224000683329,0.6085037520924346,0.00808652739001132,0.31168065071105955,4
5,0.5,0.5602671183777809,0.011205903215656584,0.6031887151431021,0.008154437455155131,0.3388062000274658,5
0,0.0,0.5050084637220829,0.10970031766805917,0.5903947250234761,0.10189607212612274,0.2890151500701904,6
