combo,fold,solver,shrinkage,cv_acc,cv_macro_f1,fit_seconds
0,1,lsqr,None,0.7097142857142857,0.7106282166528148,0.12018609046936035
0,2,lsqr,None,0.6997142857142857,0.7004244479384653,0.20125627517700195
0,3,lsqr,None,0.7002000571591883,0.7013024726209647,0.09473299980163574
0,4,lsqr,None,0.6964847099171192,0.6970902714883427,0.1976757049560547
0,5,lsqr,None,0.7133466704772792,0.7141654611959276,0.11556887626647949
1,1,lsqr,auto,0.7065714285714285,0.7075954132303836,0.30880188941955566
1,2,lsqr,auto,0.7034285714285714,0.7042292950140024,0.21155571937561035
1,3,lsqr,auto,0.7070591597599314,0.7081758329345201,0.1672530174255371
1,4,lsqr,auto,0.6979136896256073,0.6987390656082324,0.2559492588043213
1,5,lsqr,auto,0.7067733638182337,0.7077923476645669,0.23228907585144043
2,1,lsqr,0.1,0.6942857142857143,0.6949589567454901,0.1823723316192627
2,2,lsqr,0.1,0.6922857142857143,0.692879173031016,0.2021489143371582
2,3,lsqr,0.1,0.6944841383252358,0.695161414348029,0.11776876449584961
2,4,lsqr,0.1,0.683623892540726,0.6839886350205138,0.10860109329223633
2,5,lsqr,0.1,0.6933409545584452,0.6941356742253928,0.12426114082336426
3,1,lsqr,0.3,0.6788571428571428,0.6793122836630741,0.12383413314819336
3,2,lsqr,0.3,0.6851428571428572,0.6856478158231463,0.12714409828186035
3,3,lsqr,0.3,0.6861960560160045,0.6866385365994336,0.10893487930297852
3,4,lsqr,0.3,0.6701914832809374,0.6703346713532637,0.12574529647827148
3,5,lsqr,0.3,0.6856244641326094,0.6861517736600994,0.09323501586914062
4,1,lsqr,0.5,0.6657142857142857,0.6659567571922619,0.1145639419555664
4,2,lsqr,0.5,0.6748571428571428,0.6753489484221066,0.14093804359436035
4,3,lsqr,0.5,0.6784795655901686,0.6787762453452485,0.1799008846282959
4,4,lsqr,0.5,0.6547585024292655,0.654917108436802,0.15466809272766113
4,5,lsqr,0.5,0.6767647899399829,0.6771837930718967,0.27042603492736816
5,1,lsqr,0.7,0.6525714285714286,0.6526735695895581,0.1495058536529541
5,2,lsqr,0.7,0.6617142857142857,0.6622064279780628,0.12248611450195312
5,3,lsqr,0.7,0.6639039725635896,0.664542170756786,0.1407918930053711
5,4,lsqr,0.7,0.6387539296941983,0.6390923821032626,0.12447786331176758
5,5,lsqr,0.7,0.6576164618462418,0.6579258993904081,0.11409401893615723
6,1,lsqr,0.9,0.6237142857142857,0.6236628700935405,0.11383295059204102
6,2,lsqr,0.9,0.6405714285714286,0.6408884437887934,0.141463041305542
6,3,lsqr,0.9,0.6396113175192912,0.6397110118774226,0.13435792922973633
6,4,lsqr,0.9,0.6130322949414119,0.6131567403388672,0.11980104446411133
6,5,lsqr,0.9,0.6284652757930838,0.6282623845056763,0.12316489219665527
7,1,eigen,None,0.24971428571428572,0.10093360767398177,0.19285202026367188
8,1,eigen,auto,0.7065714285714285,0.7075954132303836,0.20137500762939453
8,2,eigen,auto,0.7034285714285714,0.7042292950140024,0.2321031093597412
8,3,eigen,auto,0.7070591597599314,0.7081758329345201,0.25783610343933105
8,4,eigen,auto,0.6979136896256073,0.6987390656082324,0.24728822708129883
8,5,eigen,auto,0.7067733638182337,0.7077923476645669,0.2961130142211914
9,1,eigen,0.1,0.6942857142857143,0.6949589567454901,0.17949414253234863
9,2,eigen,0.1,0.6922857142857143,0.692879173031016,0.15531492233276367
9,3,eigen,0.1,0.6944841383252358,0.695161414348029,0.17159414291381836
9,4,eigen,0.1,0.683623892540726,0.6839886350205138,0.18150901794433594
9,5,eigen,0.1,0.6933409545584452,0.6941356742253928,0.17770981788635254
10,1,eigen,0.3,0.6788571428571428,0.6793122836630741,0.1813368797302246
10,2,eigen,0.3,0.6851428571428572,0.6856478158231463,0.23803210258483887
10,3,eigen,0.3,0.6861960560160045,0.6866385365994336,0.2671060562133789
10,4,eigen,0.3,0.6701914832809374,0.6703346713532637,0.20284485816955566
10,5,eigen,0.3,0.6856244641326094,0.6861517736600994,0.18390703201293945
11,1,eigen,0.5,0.6657142857142857,0.6659567571922619,0.20055770874023438
11,2,eigen,0.5,0.6748571428571428,0.6753489484221066,0.19119787216186523
11,3,eigen,0.5,0.6784795655901686,0.6787762453452485,0.22747087478637695
11,4,eigen,0.5,0.6547585024292655,0.654917108436802,0.16634678840637207
11,5,eigen,0.5,0.6767647899399829,0.6771837930718967,0.22079682350158691
12,1,eigen,0.7,0.6525714285714286,0.6526735695895581,0.21649408340454102
12,2,eigen,0.7,0.6617142857142857,0.6622064279780628,0.1940009593963623
12,3,eigen,0.7,0.6639039725635896,0.664542170756786,0.22369813919067383
12,4,eigen,0.7,0.6387539296941983,0.6390923821032626,0.1778857707977295
12,5,eigen,0.7,0.6576164618462418,0.6579258993904081,0.1976609230041504
13,1,eigen,0.9,0.6237142857142857,0.6236628700935405,0.23903489112854004
13,2,eigen,0.9,0.6405714285714286,0.6408884437887934,0.22913098335266113
13,3,eigen,0.9,0.6396113175192912,0.6397110118774226,0.23477816581726074
13,4,eigen,0.9,0.6130322949414119,0.6131567403388672,0.22641897201538086
13,5,eigen,0.9,0.6284652757930838,0.6282623845056763,0.1990067958831787
