combo,solver,shrinkage,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
1,lsqr,auto,0.7053063908903411,0.003998224571271751,0.7043492426407545,0.003886582775334578,0.23516979217529296,1
8,eigen,auto,0.7053063908903411,0.003998224571271751,0.7043492426407545,0.003886582775334578,0.2469430923461914,2
0,lsqr,None,0.704722173979303,0.00728813686155196,0.7038920017964316,0.007232590990397571,0.14588398933410646,3
2,lsqr,0.1,0.6922247706740883,0.004690772187816343,0.6916040827991672,0.004545620112136218,0.14703044891357422,4
9,eigen,0.1,0.6922247706740883,0.004690772187816343,0.6916040827991672,0.004545620112136218,0.17312440872192383,5
3,lsqr,0.3,0.6816170162198034,0.0069754952378532405,0.6812024006859103,0.0068329893193615505,0.11577868461608887,6
10,eigen,0.3,0.6816170162198034,0.0069754952378532405,0.6812024006859103,0.0068329893193615505,0.2146453857421875,7
4,lsqr,0.5,0.6704365704936631,0.010001613317510509,0.6701148573061692,0.009897750835396136,0.17209939956665038,8
11,eigen,0.5,0.6704365704936631,0.010001613317510509,0.6701148573061692,0.009897750835396136,0.20127401351928711,9
5,lsqr,0.7,0.6552880899636155,0.010119240592369188,0.6549120156779488,0.010012520736796832,0.13027114868164064,10
12,eigen,0.7,0.6552880899636155,0.010119240592369188,0.6549120156779488,0.010012520736796832,0.2019479751586914,11
6,lsqr,0.9,0.62913629012086,0.011575900668180601,0.6290789205079002,0.011507162842896821,0.1265239715576172,12
13,eigen,0.9,0.62913629012086,0.011575900668180601,0.6290789205079002,0.011507162842896821,0.22567396163940429,13
7,eigen,None,0.10093360767398177,,0.24971428571428572,,0.19285202026367188,14
