combo,C,max_iter,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
8,100.0,5000,0.7604223423569936,0.009731458943084319,0.7597298003511208,0.009665750107081508,116.52058544158936,1
9,100.0,10000,0.7604223423569936,0.009731458943084319,0.7597298003511208,0.009665750107081508,115.88478937149048,2
6,10.0,5000,0.7592681446263476,0.009321002597746085,0.7585296207079574,0.009276187609836091,58.075058937072754,3
7,10.0,10000,0.7592681446263476,0.009321002597746085,0.7585296207079574,0.009276187609836091,64.5415370464325,4
4,1.0,5000,0.758886761407285,0.007972957217801358,0.7581295227207774,0.00794852733300261,17.606210899353027,5
5,1.0,10000,0.758886761407285,0.007972957217801358,0.7581295227207774,0.00794852733300261,17.174299955368042,6
2,0.1,5000,0.7557149307207189,0.0069522394876133575,0.7548719389213245,0.006980625802268183,5.539332246780395,7
3,0.1,10000,0.7557149307207189,0.0069522394876133575,0.7548719389213245,0.006980625802268183,5.525674962997437,8
0,0.01,5000,0.746813019710779,0.008214893118312342,0.7458988608990323,0.008235930131665056,2.9108883857727053,9
1,0.01,10000,0.746813019710779,0.008214893118312342,0.7458988608990323,0.008235930131665056,2.8522892951965333,10
