combo,fold,C,max_iter,cv_acc,cv_macro_f1,fit_seconds
0,1,0.01,5000,0.7451428571428571,0.7462086426154102,2.894294023513794
0,2,0.01,5000,0.7542857142857143,0.7549057299729177,2.877168893814087
0,3,0.01,5000,0.7473563875392969,0.7485730087198487,2.9644129276275635
0,4,0.01,5000,0.7324949985710203,0.7332945528074866,2.915411949157715
0,5,0.01,5000,0.7502143469562732,0.7510831644382316,2.903154134750366
1,1,0.01,10000,0.7451428571428571,0.7462086426154102,2.7249419689178467
1,2,0.01,10000,0.7542857142857143,0.7549057299729177,2.8150112628936768
1,3,0.01,10000,0.7473563875392969,0.7485730087198487,2.9347541332244873
1,4,0.01,10000,0.7324949985710203,0.7332945528074866,2.899029016494751
1,5,0.01,10000,0.7502143469562732,0.7510831644382316,2.8877100944519043
2,1,0.1,5000,0.7571428571428571,0.7580651483422598,5.531031131744385
2,2,0.1,5000,0.7582857142857143,0.7589859008001252,5.9213950634002686
2,3,0.1,5000,0.7527865104315519,0.7538666259733012,5.131081819534302
2,4,0.1,5000,0.7439268362389254,0.7447022026466106,5.746336936950684
2,5,0.1,5000,0.7622177765075736,0.7629547758412978,5.366816282272339
3,1,0.1,10000,0.7571428571428571,0.7580651483422598,5.536969900131226
3,2,0.1,10000,0.7582857142857143,0.7589859008001252,5.812273979187012
3,3,0.1,10000,0.7527865104315519,0.7538666259733012,5.145756959915161
3,4,0.1,10000,0.7439268362389254,0.7447022026466106,5.747492074966431
3,5,0.1,10000,0.7622177765075736,0.7629547758412978,5.3858819007873535
4,1,1.0,5000,0.7608571428571429,0.7617478812596186,13.402862787246704
4,2,1.0,5000,0.7631428571428571,0.7638713239867458,19.658387899398804
4,3,1.0,5000,0.7553586739068305,0.7563880872459592,19.460535764694214
4,4,1.0,5000,0.7456416118891112,0.746195730257291,19.778259992599487
4,5,1.0,5000,0.7656473278079451,0.7662307842868102,15.731008052825928
5,1,1.0,10000,0.7608571428571429,0.7617478812596186,13.142786026000977
5,2,1.0,10000,0.7631428571428571,0.7638713239867458,19.564533948898315
5,3,1.0,10000,0.7553586739068305,0.7563880872459592,18.755919694900513
5,4,1.0,10000,0.7456416118891112,0.746195730257291,19.066136121749878
5,5,1.0,10000,0.7656473278079451,0.7662307842868102,15.342123985290527
6,1,10.0,5000,0.7605714285714286,0.7613872520197794,43.46076703071594
6,2,10.0,5000,0.7637142857142857,0.7644147772305059,71.823646068573
6,3,10.0,5000,0.7567876536153186,0.7578241182978329,61.68517518043518
6,4,10.0,5000,0.7436410402972278,0.7441606790963184,49.22101664543152
6,5,10.0,5000,0.7679336953415261,0.7685538964873017,64.18468976020813
7,1,10.0,10000,0.7605714285714286,0.7613872520197794,44.4809832572937
7,2,10.0,10000,0.7637142857142857,0.7644147772305059,79.66916513442993
7,3,10.0,10000,0.7567876536153186,0.7578241182978329,69.39979815483093
7,4,10.0,10000,0.7436410402972278,0.7441606790963184,59.60065793991089
7,5,10.0,10000,0.7679336953415261,0.7685538964873017,69.55708074569702
8,1,100.0,5000,0.7602857142857142,0.7610909396135881,127.12587189674377
8,2,100.0,5000,0.7668571428571429,0.7674671207510502,112.30067992210388
8,3,100.0,5000,0.7579308373821092,0.7589195070068085,148.38493609428406
8,4,100.0,5000,0.7444984281223207,0.744923821458284,110.10214829444885
8,5,100.0,5000,0.7690768791083167,0.769710322955237,84.68929100036621
9,1,100.0,10000,0.7602857142857142,0.7610909396135881,123.29402756690979
9,2,100.0,10000,0.7668571428571429,0.7674671207510502,113.19449210166931
9,3,100.0,10000,0.7579308373821092,0.7589195070068085,144.79714608192444
9,4,100.0,10000,0.7444984281223207,0.744923821458284,118.57818102836609
9,5,100.0,10000,0.7690768791083167,0.769710322955237,79.56010007858276
