model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
XGBoost,sklearn,0.7288673661862572,0.008357077446865481,0.7279945382969725,0.008020131406645531,0.7371428571428571,0.7371415097977794,0.7371174656869278,0.6499594990995999,0.9247697555633168,8.79
LightGBM,sklearn,0.7266952680357652,0.0077153522697534305,0.7263912344746043,0.007385060488956185,0.7264,0.7263554437723343,0.7263284520007521,0.6356453780043678,0.9200275916163656,36.19
RandomForest,sklearn,0.7130932266361818,0.00653769984981504,0.7121201023927232,0.006542601297552579,0.7184,0.7183948075265429,0.7183699443718747,0.625215048744829,0.9143644878230051,5.22
CatBoost,sklearn,0.7090354468623687,0.009257357190504033,0.7069913968837003,0.009509372688138258,0.7133714285714285,0.7123691483115646,0.712342888243877,0.6189143827424757,0.9152059779881825,7.38
ExtraTrees,sklearn,0.7013768831911158,0.005976662130778201,0.6995525695178252,0.0058069451569909844,0.7056,0.7050378782711698,0.7050120167991902,0.6083587998092919,0.9045976759025878,2.0
ShallowNN_MLP,sklearn,0.6277076552484384,0.005040233030205278,0.6246507281100192,0.008561878407598715,0.6361142857142857,0.6336642123548312,0.633649218923008,0.5170178146735748,0.8705933561050864,3.64
LogisticRegression,sklearn,0.607247278814355,0.0038380919020788904,0.6106889514635927,0.003916610206303441,0.6036571428571429,0.6088553010165139,0.6088424812486886,0.4723530657547918,0.8547330480854785,5.72
