combo,fold,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,cv_acc,cv_macro_f1,fit_seconds
0,1,0.1,300,31,20,0.0,0.7934285714285715,0.7938058635718237,8.913126945495605
0,2,0.1,300,31,20,0.0,0.7937142857142857,0.7936581666345204,6.789259195327759
0,3,0.1,300,31,20,0.0,0.7876536153186625,0.7880747953623688,7.9152162075042725
0,4,0.1,300,31,20,0.0,0.7845098599599886,0.7841405196581583,5.9573352336883545
0,5,0.1,300,31,20,0.0,0.7936553300943127,0.7938281208489577,5.734482765197754
1,1,0.1,300,31,20,1.0,0.7911428571428571,0.7913756726502356,11.326210021972656
1,2,0.1,300,31,20,1.0,0.7928571428571428,0.7928128373966034,7.51919412612915
1,3,0.1,300,31,20,1.0,0.7885110031437553,0.7890106764173199,5.719258069992065
1,4,0.1,300,31,20,1.0,0.7830808802515005,0.7828144924574253,6.445364952087402
1,5,0.1,300,31,20,1.0,0.7967990854529866,0.7970937508806127,6.037370681762695
2,1,0.1,300,31,50,0.0,0.798,0.7982592879404741,6.6478111743927
2,2,0.1,300,31,50,0.0,0.79,0.7899037609764405,5.470327138900757
2,3,0.1,300,31,50,0.0,0.7885110031437553,0.7889215784473451,4.871673822402954
2,4,0.1,300,31,50,0.0,0.786510431551872,0.7860733950307202,4.37108302116394
2,5,0.1,300,31,50,0.0,0.7899399828522435,0.7900191121904403,7.7388060092926025
3,1,0.1,300,31,50,1.0,0.7934285714285715,0.7937019892558171,10.176331043243408
3,2,0.1,300,31,50,1.0,0.7914285714285715,0.7913825281842186,7.384556770324707
3,3,0.1,300,31,50,1.0,0.7905115747356387,0.7908558803146759,7.527203798294067
3,4,0.1,300,31,50,1.0,0.7876536153186625,0.7873394388815647,8.209735870361328
3,5,0.1,300,31,50,1.0,0.7959416976278937,0.7961367626702697,6.418666124343872
4,1,0.1,300,63,20,0.0,0.7971428571428572,0.7974796351904783,9.088920831680298
4,2,0.1,300,63,20,0.0,0.7897142857142857,0.7895982656886703,11.751212120056152
4,3,0.1,300,63,20,0.0,0.7870820234352672,0.7875294804588288,21.30035400390625
4,4,0.1,300,63,20,0.0,0.7845098599599886,0.7842143905803588,14.110613107681274
4,5,0.1,300,63,20,0.0,0.7873678193769649,0.7875207194133227,9.275558948516846
5,1,0.1,300,63,20,1.0,0.7954285714285714,0.7955927308574952,11.038622856140137
5,2,0.1,300,63,20,1.0,0.7937142857142857,0.7935228950795811,25.62062907218933
5,3,0.1,300,63,20,1.0,0.7842240640182909,0.7847215563847019,19.89906620979309
5,4,0.1,300,63,20,1.0,0.7796513289511289,0.779360519489457,51.94990110397339
5,5,0.1,300,63,20,1.0,0.7967990854529866,0.7969772892877482,37.25805306434631
6,1,0.1,300,63,50,0.0,0.7914285714285715,0.7915065178800327,29.29422879219055
6,2,0.1,300,63,50,0.0,0.7877142857142857,0.7877124173936867,24.595358848571777
6,3,0.1,300,63,50,0.0,0.793369534152615,0.793805767336379,25.30518913269043
6,4,0.1,300,63,50,0.0,0.7867962274935696,0.7864265569398952,18.01550269126892
6,5,0.1,300,63,50,0.0,0.794226921977708,0.7944272275991701,20.84744906425476
7,1,0.1,300,63,50,1.0,0.7894285714285715,0.7896336874069748,21.846915006637573
7,2,0.1,300,63,50,1.0,0.7968571428571428,0.7968356546471127,17.400434970855713
7,3,0.1,300,63,50,1.0,0.7885110031437553,0.7890489271802694,14.581941604614258
7,4,0.1,300,63,50,1.0,0.7805087167762218,0.7801344235144105,18.04186201095581
7,5,0.1,300,63,50,1.0,0.7982280651614747,0.7982810358613479,13.830173254013062
8,1,0.1,300,127,20,0.0,0.792,0.7920882479867218,27.70599389076233
8,2,0.1,300,127,20,0.0,0.7948571428571428,0.7946477857855427,23.836890935897827
8,3,0.1,300,127,20,0.0,0.7830808802515005,0.7833919230545843,9.418398141860962
8,4,0.1,300,127,20,0.0,0.7867962274935696,0.7866339119838139,9.812450885772705
8,5,0.1,300,127,20,0.0,0.7850814518433838,0.7851844463450154,9.615357875823975
9,1,0.1,300,127,20,1.0,0.7931428571428571,0.7934080303379375,11.413787126541138
9,2,0.1,300,127,20,1.0,0.7925714285714286,0.7924595608931563,10.367475032806396
9,3,0.1,300,127,20,1.0,0.7893683909688483,0.7897058201074398,9.91332197189331
9,4,0.1,300,127,20,1.0,0.7905115747356387,0.7903300444296679,8.993202209472656
9,5,0.1,300,127,20,1.0,0.795655901686196,0.7957805217306188,6.354602813720703
10,1,0.1,300,127,50,0.0,0.7962857142857143,0.7963749910131721,6.678981065750122
10,2,0.1,300,127,50,0.0,0.796,0.7958047565913672,7.214903831481934
10,3,0.1,300,127,50,0.0,0.7927979422692197,0.7930513631882655,6.6701250076293945
10,4,0.1,300,127,50,0.0,0.7842240640182909,0.7839778683618146,7.6941797733306885
10,5,0.1,300,127,50,0.0,0.7925121463275222,0.7926832638528031,7.080404996871948
11,1,0.1,300,127,50,1.0,0.8005714285714286,0.800806479466369,5.9644386768341064
11,2,0.1,300,127,50,1.0,0.7937142857142857,0.793662522133139,6.873157978057861
11,3,0.1,300,127,50,1.0,0.7853672477850815,0.7857267064929981,6.259984731674194
11,4,0.1,300,127,50,1.0,0.7853672477850815,0.7850693666180403,6.825678825378418
11,5,0.1,300,127,50,1.0,0.7985138611031724,0.798482908056266,5.82182502746582
12,1,0.05,600,31,20,0.0,0.7937142857142857,0.7939246474507203,6.371530055999756
12,2,0.05,600,31,20,0.0,0.7925714285714286,0.7924492558891841,7.885473966598511
12,3,0.05,600,31,20,0.0,0.7899399828522435,0.7906103731063029,6.750562906265259
12,4,0.05,600,31,20,0.0,0.7913689625607316,0.7910265345349446,6.974952936172485
12,5,0.05,600,31,20,0.0,0.7953701057444984,0.7956612430819794,6.921416997909546
13,1,0.05,600,31,20,1.0,0.8011428571428572,0.8013771645202663,7.881520748138428
13,2,0.05,600,31,20,1.0,0.7902857142857143,0.7902044636164873,8.61874008178711
13,3,0.05,600,31,20,1.0,0.7930837382109174,0.7935434235662149,7.811428070068359
13,4,0.05,600,31,20,1.0,0.7876536153186625,0.7872446892851617,9.949818134307861
13,5,0.05,600,31,20,1.0,0.7970848813946841,0.7973039847582029,8.299649953842163
14,1,0.05,600,31,50,0.0,0.7931428571428571,0.7932746717748377,6.783307075500488
14,2,0.05,600,31,50,0.0,0.794,0.794002175036749,7.5294718742370605
14,3,0.05,600,31,50,0.0,0.7922263503858246,0.7926512375558086,7.533294916152954
14,4,0.05,600,31,50,0.0,0.7833666761931981,0.7830476907285228,14.018678903579712
14,5,0.05,600,31,50,0.0,0.7982280651614747,0.7984544790235978,27.205263137817383
15,1,0.05,600,31,50,1.0,0.7937142857142857,0.7940574527550385,37.54852509498596
15,2,0.05,600,31,50,1.0,0.7934285714285715,0.7933571323967666,40.612377882003784
15,3,0.05,600,31,50,1.0,0.7876536153186625,0.7881326534098143,30.136839151382446
15,4,0.05,600,31,50,1.0,0.7847956559016862,0.7844643321265703,32.467901945114136
15,5,0.05,600,31,50,1.0,0.795655901686196,0.7957569608095523,29.91114091873169
16,1,0.05,600,63,20,0.0,0.8002857142857143,0.8006383980648204,47.825639963150024
16,2,0.05,600,63,20,0.0,0.7974285714285714,0.7972961903338477,40.898183822631836
16,3,0.05,600,63,20,0.0,0.7922263503858246,0.7926890375499995,41.918635845184326
16,4,0.05,600,63,20,0.0,0.7953701057444984,0.7951311911322149,40.771233797073364
16,5,0.05,600,63,20,0.0,0.7979422692197771,0.7981161666603792,32.71480393409729
17,1,0.05,600,63,20,1.0,0.8048571428571428,0.8050734249282518,16.185271978378296
17,2,0.05,600,63,20,1.0,0.7977142857142857,0.7976478447608404,20.95692729949951
17,3,0.05,600,63,20,1.0,0.7882252072020577,0.7885979634019235,12.844206094741821
17,4,0.05,600,63,20,1.0,0.7830808802515005,0.7827060268363574,13.71872091293335
17,5,0.05,600,63,20,1.0,0.7922263503858246,0.792448875340288,11.780729055404663
18,1,0.05,600,63,50,0.0,0.7925714285714286,0.7928384330835594,12.434165000915527
18,2,0.05,600,63,50,0.0,0.792,0.7920722358675871,13.072256088256836
18,3,0.05,600,63,50,0.0,0.788796799085453,0.7892170310666695,11.020497798919678
18,4,0.05,600,63,50,0.0,0.7819376964847099,0.7814102240672954,11.072383880615234
18,5,0.05,600,63,50,0.0,0.7950843098028008,0.7951594545864322,10.461824178695679
19,1,0.05,600,63,50,1.0,0.7977142857142857,0.7978537466967197,11.814929008483887
19,2,0.05,600,63,50,1.0,0.7922857142857143,0.7922817076945099,10.819168090820312
19,3,0.05,600,63,50,1.0,0.7913689625607316,0.7917218053443723,11.038504838943481
19,4,0.05,600,63,50,1.0,0.7862246356101743,0.785986401501918,10.291034936904907
19,5,0.05,600,63,50,1.0,0.79879965704487,0.799022232991155,9.88936710357666
20,1,0.05,600,127,20,0.0,0.7965714285714286,0.7967360365885124,16.732404947280884
20,2,0.05,600,127,20,0.0,0.7977142857142857,0.7975515516089571,19.358365058898926
20,3,0.05,600,127,20,0.0,0.7899399828522435,0.7902618492403876,18.94266700744629
20,4,0.05,600,127,20,0.0,0.7902257787939412,0.7899799448851575,18.020511865615845
20,5,0.05,600,127,20,0.0,0.7927979422692197,0.7928295908889924,16.271055698394775
21,1,0.05,600,127,20,1.0,0.7974285714285714,0.7976913807001118,19.71235203742981
21,2,0.05,600,127,20,1.0,0.7988571428571428,0.7987180003940118,21.215358018875122
21,3,0.05,600,127,20,1.0,0.793369534152615,0.7938428393349017,17.896843671798706
21,4,0.05,600,127,20,1.0,0.7870820234352672,0.7867200617372618,17.45901393890381
21,5,0.05,600,127,20,1.0,0.7947985138611031,0.7948722702046306,16.766362190246582
22,1,0.05,600,127,50,0.0,0.794,0.7940475318764063,17.705968856811523
22,2,0.05,600,127,50,0.0,0.7988571428571428,0.7986241927040673,17.272006273269653
22,3,0.05,600,127,50,0.0,0.7859388396684767,0.7864485690224602,20.611238718032837
22,4,0.05,600,127,50,0.0,0.7913689625607316,0.7910844726823781,18.089194774627686
22,5,0.05,600,127,50,0.0,0.7945127179194056,0.7946459109293462,19.04284381866455
23,1,0.05,600,127,50,1.0,0.7965714285714286,0.7966864177827394,16.477854013442993
23,2,0.05,600,127,50,1.0,0.7985714285714286,0.798447816054217,15.550861120223999
23,3,0.05,600,127,50,1.0,0.788796799085453,0.7890921417120557,11.497313022613525
23,4,0.05,600,127,50,1.0,0.7902257787939412,0.78989383132865,12.972648859024048
23,5,0.05,600,127,50,1.0,0.79879965704487,0.7989489934661216,13.087526082992554
24,1,0.03,1200,31,20,0.0,0.7951428571428572,0.7953386345395008,14.151439189910889
24,2,0.03,1200,31,20,0.0,0.7914285714285715,0.7913361599505034,12.86841893196106
24,3,0.03,1200,31,20,0.0,0.7902257787939412,0.7907729645445554,14.487016916275024
24,4,0.03,1200,31,20,0.0,0.7870820234352672,0.7866687490860914,15.569471836090088
24,5,0.03,1200,31,20,0.0,0.7979422692197771,0.7982024791152075,14.713715076446533
25,1,0.03,1200,31,20,1.0,0.7942857142857143,0.7945654071212533,20.368298292160034
25,2,0.03,1200,31,20,1.0,0.7928571428571428,0.7927395273877382,15.287642002105713
25,3,0.03,1200,31,20,1.0,0.7907973706773364,0.7913894089142159,12.38215184211731
25,4,0.03,1200,31,20,1.0,0.7885110031437553,0.7881412407013909,14.712934017181396
