feature,mean_abs_shap_overall,mean_abs_shap_Benign,mean_abs_shap_Likely benign,mean_abs_shap_Likely pathogenic,mean_abs_shap_Pathogenic
ditto_score,2.4870841766378273,2.8442787680649406,4.096827430143855,0.8135335272773703,2.1936969810651425
metarnn_score,0.6855245394409644,0.42008382358100055,1.0724399390208819,0.6988311276694869,0.5507432674924885
gnomad_af,0.6410599803315055,1.0772198422970538,1.1558685347095956,0.3198446554303208,0.011306888889051679
allofus250k_gvs_max_af,0.5133854386589989,1.4287817160415464,0.6098286878420314,0.008369679590827676,0.006561671161590422
clinpred_score,0.47331154890505145,0.9520537145146303,0.5940755830413211,0.2923364870967427,0.054780410967511635
metarnn_rank_score,0.42598825673184837,0.7325148153484334,0.6847281721264444,0.22215070897984243,0.06455933047267333
bayesdel_bayesdel_addaf_rankscore,0.27977463262868624,0.7824901389913719,0.19335455508173074,0.058663122045549125,0.08459071439609342
bayesdel_bayesdel_addaf_score,0.2059127721134061,0.20826316002040654,0.3674864155332207,0.14813732337311122,0.09976418952688589
gnomad3_af_afr,0.1551489677077019,0.5313690737258927,0.05184913346846212,0.019092575988892,0.01828508764756072
alphamissense_am_pathogenicity,0.15408438172102296,0.3542520520691266,0.1691674854922935,0.032215083241890846,0.06070290608078093
gnomad3_af_nfe,0.15172724234928373,0.3112323805691531,0.1416566369861343,0.1419043921458331,0.012115559696014393
ncer_score,0.14140233471122127,0.20480140938103292,0.1804672212752587,0.13255165872413846,0.04778904946445501
mutpred1_mutpred_general_score,0.1369835225629047,0.181219115765322,0.04226949910274682,0.15393811363770496,0.17050736174584505
alfa_total_alt,0.13362300569599564,0.05235778285950773,0.028886939987410327,0.4081579109064584,0.04508938903060615
gmvp_score,0.12065427963960187,0.192581176812244,0.22358422150404536,0.04609049777616252,0.02036122246595561
mutpred2_rankscore,0.0982996067114977,0.009547677026742333,0.027259573800788153,0.3241705736189213,0.03222060239953903
allofus250k_gvs_max_ac,0.09452622625019542,0.1710623784890875,0.14303009534487712,0.0217718097909851,0.04224062137583195
gnomad3_af,0.08129035265605682,0.20292105825077741,0.09992611505347831,0.016747979649053255,0.0055662576709183086
revel_score,0.08114940824537621,0.06779389840655975,0.12333796460207742,0.061636685933687124,0.07182908403918058
gnomad3_af_fin,0.07482959196479444,0.14458233337147797,0.10017910239135099,0.03724199509304298,0.017314937003305844
allofus250k_gvs_afr_ac,0.07348656733003023,0.10658618894328964,0.17738042140724508,0.004696200486352725,0.005283458483233455
mutation_assessor_score,0.07342423923428774,0.13609102012315935,0.09898728031047171,0.03147344105150823,0.027145215452011696
mistic_score,0.06920414327197899,0.0439520437395203,0.13543188600795228,0.04703444715202302,0.05039819618842034
vest_score,0.06900397522703855,0.014891366211946602,0.12140874271363591,0.04572084999422583,0.09399494198834588
allofus250k_gvs_eas_ac,0.06596855340673433,0.2029831074092788,0.04212137996393256,0.00921594899067888,0.009553777263047047
gnomad3_af_sas,0.06474893536758775,0.09583783832661973,0.015060927700675917,0.003178235021186309,0.144918740421869
mutpred2_score,0.061440363861293534,0.027605081404485417,0.09805464663837532,0.08081671048629388,0.03928501691601952
