feature,mean_abs_shap_overall,mean_abs_shap_Benign/Likely benign,mean_abs_shap_Pathogenic/Likely pathogenic
ditto_score,4.2632077830617465,4.2632077830617465,4.2632077830617465
metarnn_score,1.116223777526612,1.116223777526612,1.116223777526612
bayesdel_bayesdel_addaf_score,0.4990884787053544,0.4990884787053544,0.4990884787053544
clinpred_score,0.18074395819712205,0.18074395819712205,0.18074395819712205
gnomad_af,0.13512091678895052,0.13512091678895052,0.13512091678895052
gmvp_score,0.09449230422056491,0.09449230422056491,0.09449230422056491
vest_score,0.05202082820653331,0.05202082820653331,0.05202082820653331
mutpred2_score,0.04837716710321335,0.04837716710321335,0.04837716710321335
allofus250k_gvs_max_af,0.03920153760131755,0.03920153760131755,0.03920153760131755
allofus250k_gvs_max_an,0.03869774673449784,0.03869774673449784,0.03869774673449784
alphamissense_am_pathogenicity,0.03220708879914843,0.03220708879914843,0.03220708879914843
regeneron_all_an,0.030391946315012786,0.030391946315012786,0.030391946315012786
fathmm_xf_coding_fathmm_xf_coding_score,0.030318710628705458,0.030318710628705458,0.030318710628705458
gnomad_af_nfe,0.027934954969009634,0.027934954969009634,0.027934954969009634
allofus250k_gvs_afr_ac,0.02764132495216406,0.02764132495216406,0.02764132495216406
primateai_primateai_score,0.02683359856936834,0.02683359856936834,0.02683359856936834
cadd_score,0.025904856599159663,0.025904856599159663,0.025904856599159663
mistic_score,0.025860086048643913,0.025860086048643913,0.025860086048643913
regeneron_all_ac,0.021158130296747915,0.021158130296747915,0.021158130296747915
phylop_phylop470_mamm,0.017492930666228083,0.017492930666228083,0.017492930666228083
ncer_score,0.01721687429581081,0.01721687429581081,0.01721687429581081
gnomad3_af_eas,0.01719573863693057,0.01719573863693057,0.01719573863693057
gnomad3_af_nfe,0.01713148386095338,0.01713148386095338,0.01713148386095338
alfa_total_freq,0.01605518661418472,0.01605518661418472,0.01605518661418472
allofus250k_gvs_max_ac,0.015394788309679835,0.015394788309679835,0.015394788309679835
phastcons_phastcons17way_primate,0.014335366128166577,0.014335366128166577,0.014335366128166577
polyphen2_hdiv_rank,0.014332652863819486,0.014332652863819486,0.014332652863819486
polyphen2_hvar_rank,0.013683325641092122,0.013683325641092122,0.013683325641092122
regeneron_all_af,0.013508290437192596,0.013508290437192596,0.013508290437192596
vest_pval,0.0133462473217066,0.0133462473217066,0.0133462473217066
allofus250k_gvs_eas_ac,0.012874576861334256,0.012874576861334256,0.012874576861334256
gnomad3_af,0.012399316581896906,0.012399316581896906,0.012399316581896906
eve_score,0.011532650149672813,0.011532650149672813,0.011532650149672813
chasmplus_prad_pval,0.011438554928973065,0.011438554928973065,0.011438554928973065
varity_r_varity_er,0.011256950241032336,0.011256950241032336,0.011256950241032336
revel_score,0.011236245785235658,0.011236245785235658,0.011236245785235658
gnomad3_af_oth,0.011208790312835941,0.011208790312835941,0.011208790312835941
phylop_phylop100_vert,0.010569737547254997,0.010569737547254997,0.010569737547254997
dann_coding_dann_coding_score,0.010565591868933986,0.010565591868933986,0.010565591868933986
lrt_lrt_omega,0.010554167144829206,0.010554167144829206,0.010554167144829206
varity_r_varity_er_loo,0.010252848587903726,0.010252848587903726,0.010252848587903726
gnomad3_af_sas,0.010236048154956223,0.010236048154956223,0.010236048154956223
mutation_assessor_score,0.010166747990738524,0.010166747990738524,0.010166747990738524
fathmm_xf_score,0.009887155630899563,0.009887155630899563,0.009887155630899563
phdsnpg_score,0.009634167074618233,0.009634167074618233,0.009634167074618233
