combo,alpha,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
3,10.0,0.7042838063964835,0.005772738197440315,0.7036634466990568,0.005645820180579547,0.08619141578674316,1
0,0.01,0.7041967308706154,0.00612528803111012,0.7036062711795207,0.005964997370819386,0.6291247367858886,2
1,0.1,0.7037214792637516,0.005548097737647653,0.7031491119911811,0.0054007326450354115,0.06275429725646972,3
2,1.0,0.7028113825226427,0.004744575297528315,0.7022346139713387,0.004581131070180474,0.05011892318725586,4
4,100.0,0.7024880856416681,0.004173527635767155,0.7018347119585188,0.004039191169948804,0.06534466743469239,5
5,1000.0,0.6908593606008206,0.0034084824074003344,0.6905754133834157,0.0033174213874168903,0.056888580322265625,6
