model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
ExtraTrees,sklearn,0.679675186859716,0.027247472861550447,0.6748934088531605,0.009646091833548748,0.6878208119458703,0.6853025839652781,0.6857151521793152,0.585183661155022,0.8956203112475103,1.85
RandomForest,sklearn,0.6864052867870537,0.027919274141202533,0.6825862513071941,0.011627791699676203,0.6868875408306113,0.6845532315781279,0.6853153978511073,0.5833580135083387,0.8990826371014131,4.09
LightGBM,sklearn,0.6814033278410625,0.02546943611910396,0.6785783737730725,0.00984316388355817,0.6826878208119459,0.6816646613075648,0.6832270978862081,0.5766093358379428,0.8951049605735737,37.54
CatBoost,sklearn,0.6895610741827178,0.026777397889432866,0.6841037612982042,0.011274396098592102,0.6803546430237984,0.6789435424531802,0.6794832090232351,0.5752462415950209,0.898916501686057,8.79
XGBoost,sklearn,0.6895690654556045,0.022408905108619807,0.6848041390468075,0.007159502337983364,0.679888007466169,0.6783225451721806,0.6798422778947455,0.5729612815900903,0.8945386048514891,9.38
ShallowNN_MLP,sklearn,0.6202192022230119,0.021831585092732073,0.6118095451549792,0.008742096086146072,0.6381241250583295,0.6390619697514156,0.6384527517917157,0.517392886204899,0.8717221261549764,7.07
LogisticRegression,sklearn,0.6042272084430771,0.01646933982105414,0.5992212966499225,0.006453482757296522,0.5940270648623425,0.5962573279886493,0.5932871383709838,0.4642565188200769,0.8569236707696888,4.82
