feature,mean_abs_shap_overall,mean_abs_shap_Benign,mean_abs_shap_Likely benign,mean_abs_shap_Likely pathogenic,mean_abs_shap_Pathogenic
bayesdel_bayesdel_addaf_score,1.443840411401541,2.252865433223367,0.6348153895752211,2.7868343356591,0.10084648714847701
ditto_score,1.2856047825398518,1.2024238972313357,1.3687856678447992,0.8118718126808756,1.7593377524023963
bayesdel_bayesdel_noaf_rankscore,1.0967454132823518,1.270666020545937,0.9228248060189606,0.6858104280852474,1.5076803984792626
allofus250k_gvs_max_af,0.9252354892468672,1.8048876472656308,1.7257754154540776,0.04558333122874604,0.12469556303901463
bayesdel_bayesdel_addaf_rankscore,0.8187899305657693,0.6753962686109908,0.9621835925194122,0.24757445380423157,1.3900054073284427
bayesdel_bayesdel_noaf_score,0.717274527223257,0.6263363088344976,0.0029978583576070767,1.4345490544476838,0.8052148872532396
revel_score,0.5792558436700787,0.41151632752425343,0.7469953598171586,0.4509734064738667,0.7075382808650358
allofus250k_gvs_max_ac,0.5335655065360465,1.0671310130708251,1.022427862873974,0.03940115050157097,0.005301999697815777
metarnn_rank_score,0.5256227250539387,0.856927090312292,0.194318359794789,0.9483137230253844,0.10293172708328947
varity_r_varity_r_loo,0.5230768878585681,0.535849038326383,0.4442525775662342,0.0660521598250735,1.0461537757165817
varity_r_varity_r,0.5044530987071305,0.4298632842625513,0.4048750622544797,0.17416785089745168,1.0089061974140394
cscape_score,0.419766973762048,0.2269045685254205,0.3989699267771001,0.6126293789987441,0.4405640207469272
alphamissense_am_pathogenicity,0.4080741519088628,0.4593733623304063,0.3567749414861531,0.4259007111888126,0.39024759263007924
vest_score,0.4049961854349544,0.39334535069439047,0.38032931737967013,0.03631770279749289,0.809992370868264
mutpred1_mutpred_general_score,0.39949295871113166,0.18763036827807122,0.4302833360436608,0.3687025813788222,0.6113555491439723
allofus250k_gvs_afr_ac,0.3770407887461863,0.7540815774915386,0.6864229149317884,0.0331630859910953,0.034495576570322734
metarnn_score,0.3678744106148203,0.3007291532435239,0.4350196679857415,0.1372023870575797,0.5985464341724362
allofus250k_gvs_afr_af,0.3436865936295299,0.6873731872586913,0.6105125767993578,0.038544685652352376,0.038315924807718
allofus250k_gvs_sas_ac,0.3427048697254852,0.6854097394512128,0.602536620143018,0.02878591106821235,0.05408720823949791
primateai_primateai_score,0.3220066770106371,0.12067038649823315,0.5233429675222057,0.33932095227476033,0.30469240174734924
chasmplus_meso_pval,0.3173597371840153,0.33302698902046846,0.30169248534788057,0.3719250232634265,0.2627944511042854
gnomad3_af_fin,0.3171264207127784,0.626133830797932,0.5893034951454267,0.044949346279970125,0.0081190106277849
allofus250k_gvs_eas_ac,0.3001725872388263,0.6003451744778243,0.5612775255612077,0.02728952184503724,0.011778127071235888
mutpred1_mutpred_rankscore,0.2991591618637435,0.013073667816775589,0.4110801732282174,0.17416448268332163,0.5983183237266593
gnomad3_af_afr,0.2964146282768839,0.5928292565538686,0.5304696967626399,0.009986449205951813,0.052373110585075294
allofus250k_gvs_sas_af,0.2870373996469463,0.574074799294035,0.48803055697650377,0.030873836941456383,0.055170405375790176
phastcons_phastcons470_mamm_r,0.2807427752818621,0.27419820644979126,0.2872873441138907,0.19216261771334314,0.36932293285042317
eve_rank_score,0.2785113764604044,0.29281893202023473,0.21656750096711022,0.5570227529206915,0.047636319933581285
gnomad3_af_eas,0.26394631085732684,0.527892621714365,0.4888177435821924,0.027447329196292516,0.011627548936457554
chasmplus_prad_pval,0.26255830457739593,0.21677446454760732,0.3083421446073678,0.2180674412695201,0.30704916788508835
eve_score,0.26127272489553227,0.27320406404090897,0.19756974686327394,0.5225454497908082,0.051771638887138025
allofus250k_gvs_mid_af,0.25558723356216406,0.4497765616619608,0.511174467124139,0.032064896546395605,0.0293330089161607
gmvp_rank_score,0.25552881483809886,0.26595299074172235,0.2451046389342662,0.28414446419582967,0.22691316548057716
gmvp_score,0.2537302169697935,0.2636621100984592,0.2437983238415392,0.28264935015449916,0.22481108378467632
gnomad3_af_sas,0.24962460467563685,0.4992492093517412,0.40953501358864075,0.02888843053455282,0.060825765227612606
chasmplus_skcm_pval,0.24938840005441215,0.20499435533104998,0.2937824447780885,0.24103006192493906,0.2577467381835711
metalr_score,0.23899799917290848,0.14702089718913128,0.4686811227877496,0.009314875557442032,0.330975101157311
vest_pval,0.23649705043190544,0.1910560650127825,0.1743272374331539,0.10761079841791246,0.47299410086377286
metalr_rankscore,0.23562289245644816,0.24981829358867988,0.2214274913235388,0.23183011726646707,0.2394156676471069
gerp_gerp_rs_rank,0.2346654326253291,0.28152265045943176,0.18780821479075197,0.34361078408580387,0.12572008116532885
varity_r_varity_er_loo,0.2274151547799985,0.3688047530161723,0.08602555654362179,0.030924067923954947,0.4239062416362449
chasmplus_gbm_score,0.2272066414069815,0.258081886828709,0.19633139598585747,0.17663394046063877,0.2777793423527208
provean_rankscore,0.22547390200506967,0.270126760880282,0.1808210431300309,0.1387224164971518,0.31222538751281403
chasmplus_thym_pval,0.21803804672783228,0.27539633120261336,0.1606797622537521,0.001001242609218135,0.4350748508457456
primateai_primateai_rankscore,0.213412421076984,0.3981934189863996,0.02863142316653355,0.25545086201074796,0.17137398014425484
mutpred2_rankscore,0.21104529182672188,0.04501509799252997,0.1296739271135416,0.24740155854749174,0.42209058365332414
cscape_coding_score,0.21066089209225558,0.13274857936652193,0.17545062546262385,0.288573204817995,0.2458711587218816
clinpred_score,0.20705088508567,0.25216287940580834,0.16193889076427745,0.280325648250738,0.13377612192185617
