model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
XGBoost,sklearn,0.7699987772795468,0.019337492232798365,0.7677888646428892,0.009649087490227906,0.7727484834344377,0.7697149417425664,0.7729547242408964,0.6965344502518168,0.9358747712349703,15.9
LightGBM,sklearn,0.7691251998377636,0.020481326632207326,0.7668554085070741,0.009265536188881679,0.7720485300979935,0.769640696678285,0.7727190216130219,0.6956785322360951,0.9352126474634771,45.8
CatBoost,sklearn,0.7695008405414818,0.020687365511359194,0.7671887824190102,0.01201200550764193,0.7704153056462902,0.7679602097551237,0.7709697617478962,0.6934914629399802,0.9351067339294534,13.8
RandomForest,sklearn,0.7663210805368912,0.025604891918215366,0.7642289164020655,0.014675381617550984,0.7641157256182921,0.7614596956342836,0.7646985938241408,0.6849954641155589,0.9351139700947897,11.86
ExtraTrees,sklearn,0.7574986014967612,0.023469104370923505,0.7547955340408306,0.011086579361260868,0.7599160055996267,0.7578087894258012,0.7605075705931162,0.6797654200112081,0.93248397616892,2.74
LogisticRegression,sklearn,0.7427476625061649,0.02168684133128503,0.741127025979667,0.011124616714477847,0.7323845076994867,0.730243776546484,0.7336636663548454,0.6427163359327748,0.9201185462310166,15.31
ShallowNN_MLP,sklearn,0.7213588290445655,0.0167974708668689,0.7184436121664183,0.006273916751059884,0.7134857676154923,0.7106455554256523,0.7121201210398856,0.6229709788407202,0.9135050781086709,2.38
