model,setting,accuracy,macro_f1,macro_precision,macro_recall
HistGradientBoosting,4class_canonical_kfold,0.7929,0.7928,0.7948,0.793
LinearSVC,4class_canonical_kfold,0.7543,0.7549,0.7599,0.7543
DecisionTree,4class_canonical_kfold,0.7106,0.7111,0.7116,0.7107
SGDClassifier,4class_canonical_kfold,0.7159,0.7015,0.7273,0.7159
LDA,4class_canonical_kfold,0.7003,0.7014,0.7029,0.7004
RidgeClassifier,4class_canonical_kfold,0.7003,0.7008,0.7016,0.7004
AdaBoost,4class_canonical_kfold,0.7058,0.6983,0.7067,0.7059
KNN,4class_canonical_kfold,0.6489,0.6492,0.6497,0.6489
QDA,4class_canonical_kfold,0.6155,0.5791,0.6942,0.6156
CosineSimilarity,4class_canonical_kfold,0.5618,0.5532,0.6034,0.5619
NearestCentroid,4class_canonical_kfold,0.5479,0.5475,0.5603,0.5479
HistGradientBoosting,4class_tuned,0.7952,0.7950392616951822,0.796448496797574,0.7952373923471786
LinearSVC,4class_tuned,0.7542857142857143,0.754933552727006,0.7598970953795565,0.7543295292797275
DecisionTree,4class_tuned,0.7533714285714286,0.7514090067859782,0.7564624832932492,0.7534160797228833
SGDClassifier,4class_tuned,0.7254857142857143,0.7182084960604684,0.726954527181473,0.7255227298196434
LDA,4class_tuned,0.7012571428571429,0.702199015949549,0.7035789637242588,0.7012785784893397
RidgeClassifier,4class_tuned,0.6998857142857143,0.7003232293438628,0.7012369089995625,0.6999070451652614
KNN,4class_tuned,0.6601142857142858,0.6597909745251019,0.6610791209300342,0.6601125075476147
QDA,4class_tuned,0.6436571428571428,0.6178040521058193,0.7023622792220277,0.6437262386033108
CosineSimilarity,4class_tuned,0.5618285714285715,0.5532079450338492,0.6033942389982208,0.5618845871433804
NearestCentroid,4class_tuned,0.5510857142857143,0.5514029819836793,0.5597734852991877,0.5510994428564021
AdaBoost,2class_canonical_kfold,0.987,0.987,0.987,0.987
HistGradientBoosting,2class_canonical_kfold,0.987,0.987,0.987,0.987
LinearSVC,2class_canonical_kfold,0.9867,0.9867,0.9868,0.9867
SGDClassifier,2class_canonical_kfold,0.9845,0.9845,0.9845,0.9845
RidgeClassifier,2class_canonical_kfold,0.9797,0.9797,0.9799,0.9797
LDA,2class_canonical_kfold,0.9794,0.9794,0.9797,0.9794
DecisionTree,2class_canonical_kfold,0.9774,0.9774,0.9774,0.9774
KNN,2class_canonical_kfold,0.9678,0.9678,0.9679,0.9678
QDA,2class_canonical_kfold,0.9666,0.9666,0.9668,0.9666
NearestCentroid,2class_canonical_kfold,0.8992,0.8991,0.9006,0.8992
CosineSimilarity,2class_canonical_kfold,0.8992,0.8991,0.9006,0.8992
HistGradientBoosting,2class_tuned,0.9872,0.9871998495329252,0.9872252720841912,0.9872008352496763
LinearSVC,2class_tuned,0.9867428571428571,0.9867423522050486,0.9868212315023828,0.9867443193074583
SGDClassifier,2class_tuned,0.9846857142857143,0.9846853942417082,0.9847293560188064,0.9846868106285354
DecisionTree,2class_tuned,0.9821714285714286,0.9821710923109525,0.9822107659794315,0.9821724725379903
LDA,2class_tuned,0.9801142857142857,0.9801116880572156,0.9803729389374747,0.9801169491652937
RidgeClassifier,2class_tuned,0.9796571428571429,0.9796544854838183,0.9799155523160386,0.9796598062842674
KNN,2class_tuned,0.9652571428571428,0.9652556162598283,0.9653433135059233,0.9652587083890264
QDA,2class_tuned,0.9650285714285715,0.965025932927851,0.9651746753645838,0.9650306071526196
NearestCentroid,2class_tuned,0.8996571428571428,0.8995711777528844,0.9010477611664867,0.8996638772069292
CosineSimilarity,2class_tuned,0.8992,0.8991136432551754,0.9005890353735779,0.8992067343259029
HistGradientBoosting,4class_gene_cv,0.7692,0.7658,0.7676,0.7648
LinearSVC,4class_gene_cv,0.727,0.7252,0.7307,0.7222
DecisionTree,4class_gene_cv,0.7336,0.7186,0.7334,0.7237
SGDClassifier,4class_gene_cv,0.72,0.707,0.7151,0.7114
AdaBoost,4class_gene_cv,0.7207186187587494,0.7009331640254894,0.7174051192320877,0.7117868484067602
LDA,4class_gene_cv,0.6869,0.6857,0.6875,0.6843
RidgeClassifier,4class_gene_cv,0.6839,0.6823,0.6842,0.6809
KNN,4class_gene_cv,0.594,0.5935,0.5991,0.5968
QDA,4class_gene_cv,0.5994,0.5671,0.6597,0.6023
NearestCentroid,4class_gene_cv,0.5546,0.5565,0.5649,0.5528
CosineSimilarity,4class_gene_cv,0.5443,0.5384,0.5839,0.5381
HistGradientBoosting,2class_gene_cv,0.9874,0.9874,0.9874,0.9875
AdaBoost,2class_gene_cv,0.985300979934671,0.9852996347202748,0.9852781832814792,0.985377851102871
SGDClassifier,2class_gene_cv,0.9832,0.9832,0.9832,0.9833
LinearSVC,2class_gene_cv,0.9809,0.9809,0.9809,0.981
DecisionTree,2class_gene_cv,0.9806,0.9806,0.9806,0.9807
LDA,2class_gene_cv,0.9804,0.9804,0.9806,0.9806
RidgeClassifier,2class_gene_cv,0.9804,0.9804,0.9806,0.9806
KNN,2class_gene_cv,0.9608,0.9608,0.961,0.961
QDA,2class_gene_cv,0.9515,0.9515,0.9522,0.9518
NearestCentroid,2class_gene_cv,0.8943,0.8942,0.8973,0.895
CosineSimilarity,2class_gene_cv,0.8938,0.8937,0.8966,0.8945
HistGradientBoosting,4class_augmented,0.7952,0.7948,0.7951,0.7951
LinearSVC,4class_augmented,0.7656,0.7657,0.7686,0.7655
DecisionTree,4class_augmented,0.7585,0.7574,0.7606,0.7584
SGDClassifier,4class_augmented,0.728,0.7209,0.7326,0.7279
LDA,4class_augmented,0.7108,0.7111,0.7118,0.7107
RidgeClassifier,4class_augmented,0.7032,0.7033,0.7038,0.7032
QDA,4class_augmented,0.675,0.6621,0.7182,0.675
KNN,4class_augmented,0.6156,0.6146,0.6169,0.6155
CosineSimilarity,4class_augmented,0.58,0.5747,0.6124,0.5801
NearestCentroid,4class_augmented,0.5594,0.5607,0.567,0.5594
HistGradientBoosting,2class_augmented,0.9904,0.9904,0.9904,0.9904
LinearSVC,2class_augmented,0.9885,0.9885,0.9885,0.9885
DecisionTree,2class_augmented,0.9878,0.9878,0.9879,0.9878
SGDClassifier,2class_augmented,0.9869,0.9869,0.9869,0.9869
LDA,2class_augmented,0.9853,0.9853,0.9854,0.9853
RidgeClassifier,2class_augmented,0.9851,0.9851,0.9852,0.9851
QDA,2class_augmented,0.9647,0.9647,0.9648,0.9647
KNN,2class_augmented,0.9376,0.9376,0.9387,0.9376
NearestCentroid,2class_augmented,0.9032,0.9031,0.9054,0.9032
CosineSimilarity,2class_augmented,0.9028,0.9026,0.9049,0.9028
HistGradientBoosting,4class_no_vep_kfold,0.7739,0.7727,0.7732,0.7737
DecisionTree,4class_no_vep_kfold,0.7369,0.7326,0.7408,0.7368
LinearSVC,4class_no_vep_kfold,0.7284,0.7274,0.7316,0.7283
SGDClassifier,4class_no_vep_kfold,0.7048,0.6962,0.7066,0.7047
LDA,4class_no_vep_kfold,0.67,0.6696,0.6751,0.6699
RidgeClassifier,4class_no_vep_kfold,0.661,0.66,0.6639,0.6609
QDA,4class_no_vep_kfold,0.6365,0.627,0.6852,0.6365
KNN,4class_no_vep_kfold,0.578,0.5782,0.5811,0.578
CosineSimilarity,4class_no_vep_kfold,0.5752,0.5574,0.6522,0.5753
NearestCentroid,4class_no_vep_kfold,0.57,0.5493,0.6505,0.5701
HistGradientBoosting,2class_no_vep_kfold,0.9764,0.9764,0.9764,0.9764
LinearSVC,2class_no_vep_kfold,0.975,0.975,0.975,0.975
SGDClassifier,2class_no_vep_kfold,0.9722,0.9722,0.9723,0.9722
DecisionTree,2class_no_vep_kfold,0.969,0.969,0.9691,0.969
LDA,2class_no_vep_kfold,0.9686,0.9686,0.9686,0.9686
RidgeClassifier,2class_no_vep_kfold,0.9674,0.9674,0.9674,0.9674
KNN,2class_no_vep_kfold,0.9385,0.9385,0.9391,0.9385
