column,numeric_coercion_frac
chasmplus_HNSC__all,0.0
chasmplus_HNSC__transcript,0.0
chasmplus_GBM__all,0.0
ccre_screen__bound,0.0
ccre_screen___group,0.0
ccre_screen__acc_e,0.0
ccre_screen__acc_d,0.0
alphamissense__uniprot_id,0.0
alphamissense__transcript_id,0.0
alphamissense__am_class,0.0
aloft__all,0.0
aloft__conf,0.0
aloft__pred,0.0
aloft__affect,0.0
aloft__transcript,0.0
allofus250k__gvs_max_subpop,0.0
base__all_mappings,0.0
base__achange,0.0
base__cchange,0.0
base__so,0.0
base__transcript,0.0
base__hugo,0.0
base__coding,0.0
base__alt_base,0.0
alphamissense__protein_variant,0.0
alphamissense__bp4_benign,0.0
alphamissense__pp3_pathogenic,0.0
cadd__bp4_benign,0.0
cardioboost__arrhythmias1,0.0
cardioboost__cardiomyopathy1,0.0
cancer_hotspots__samples,0.0
cancer_genome_interpreter__all,0.0
cadd_exome__pp3_pathogenic,0.0
cadd_exome__bp4_benign,0.0
cadd__pp3_pathogenic,0.0
brca1_func_assay__class,0.0
arrvars__function,0.0
bayesdel__pp3_pathogenic,0.0
bayesdel__bp4_benign,0.0
bayesdel__bayesdel_noAF_pred,0.0
bayesdel__bayesdel_addAF_pred,0.0
arrvars__link,0.0
arrvars__lqt_structure,0.0
arrvars__brs_structure,0.0
chasmplus_LUSC__transcript,0.0
chasmplus_LUSC__all,0.0
chasmplus_MESO__transcript,0.0
clinvar__variant_clinical_sources,0.0
ditto__transcript,0.0
dbsnp_common__rsid,0.0
dbsnp__rsid,0.0
dann_coding__pp3_pathogenic,0.0
dann_coding__bp4_benign,0.0
dann__pp3_pathogenic,0.0
dann__bp4_benign,0.0
clinvar__germline_or_somatic,0.0
clinvar__somatic_impact,0.0
clinvar__somatic_rev_stat,0.0
clinvar__somatic_refs,0.0
clinvar__somatic_disease_name,0.0
clinvar__allele_origin,0.0
clinvar__onc_rev_stat,0.0
clinvar__onc_classification,0.0
clinvar__onc_disease_refs,0.0
clinvar__onc_disease_name,0.0
ditto__all,0.0
encode_tfbs__factor,0.0
encode_tfbs__all,0.0
fathmm_mkl__fathmm_mkl_coding_pred,0.0
flank_seq__alt_seq,0.0
flank_seq__ref_seq,0.0
fathmm_xf_coding__pp3_pathogenic,0.0
fathmm_xf_coding__fathmm_xf_coding_pred,0.0
fathmm_mkl__pp3_pathogenic,0.0
fathmm_mkl__bp4_benign,0.0
fathmm_mkl__fathmm_mkl_group,0.0
eve__all_annotations,0.0
ensembl_regulatory_build__region,0.0
eve__transcript,0.0
esm1b__all,0.0
esm1b__pp3_pathogenic,0.0
esm1b__bp4_benign,0.0
esm1b__prediction,0.0
esm1b__transcript,0.0
ensembl_regulatory_build__ensr,0.0
clinvar__clinvar_gene_info,0.0
clinvar__variant_type_sequence_ontology,0.0
chasmplus_MESO__all,0.0
clinvar__variant_type,0.0
chasmplus_TGCT__transcript,0.0
chasmplus_STAD__all,0.0
chasmplus_STAD__transcript,0.0
chasmplus_SKCM__all,0.0
chasmplus_SKCM__transcript,0.0
chasmplus_SARC__all,0.0
chasmplus_SARC__transcript,0.0
chasmplus_READ__all,0.0
chasmplus_READ__transcript,0.0
chasmplus_PRAD__all,0.0
chasmplus_PRAD__transcript,0.0
chasmplus_PCPG__all,0.0
chasmplus_PCPG__transcript,0.0
chasmplus_PAAD__all,0.0
chasmplus_PAAD__transcript,0.0
chasmplus_OV__all,0.0
chasmplus_OV__transcript,0.0
chasmplus_TGCT__all,0.0
chasmplus_THCA__transcript,0.0
chasmplus_THCA__all,0.0
civic__description,0.0
clinvar__rev_stat,0.0
clinvar__hgvs,0.0
clinvar__clinvar_preferred_names,0.0
clinvar__disease_names,0.0
clinvar__disease_refs_incl,0.0
clinvar__disease_refs,0.0
clinvar__sig,0.0
civic__diseases,0.0
chasmplus_THYM__transcript,0.0
chasmplus_UVM__all,0.0
chasmplus_UVM__transcript,0.0
chasmplus_UCS__all,0.0
chasmplus_UCS__transcript,0.0
chasmplus_UCEC__all,0.0
chasmplus_UCEC__transcript,0.0
chasmplus_THYM__all,0.0
tagsampler__samples,0.0
