task,baseline,lean_A,lean_B,lean_A_delta,lean_B_delta
4-class,0.7950392616951822,0.7838005973293944,0.7899786870334303,-0.011238664365787798,-0.005060574661751915
2-class,0.9871998495329252,0.9810285079940968,0.9862855072136664,-0.006171341538828368,-0.0009143423192587985
3-class,0.9459342485558792,0.9349045603904376,0.9385748242673672,-0.011029688165441587,-0.007359424288511995
5-class,0.7983976382448654,0.7823194033822726,0.7866633704231856,-0.016078234862592855,-0.011734267821679856
