study,holdout_acc,holdout_macro_f1,holdout_mcc
2-class no-VUS,0.9872,0.9871998495329252,0.974426107027452
3-class with VUS,0.954029304029304,0.9459342485558792,0.9283520172030428
4-class no-VUS,0.7952,0.7950392616951822,0.7273860997287324
5-class with VUS,0.7994505494505495,0.7983976382448654,0.7496652185020541
