group,feature,2class,3class,4class,5class,max_abs
ditto,ditto_score,0.147872244285282,0.0777742068911966,0.1329202952689566,0.1097028830184435,0.147872244285282
metarnn,metarnn_score,0.028205189742494,0.0078212181193118,0.0484099187752848,0.0223798279584454,0.0484099187752848
bayesdel,bayesdel_bayesdel_addaf_score,0.0004798952698165,0.0001629963636063,0.0025667729865379,0.0089442699423141,0.0089442699423141
position,hg19_pos,-0.0002742965575465,0.0060505703273329,-0.0022576520693918,0.0055400126358465,0.0060505703273329
revel,revel_score,6.857877050273631e-05,-0.0001941490112614,0.0003492600417513,0.0033320140816738,0.0033320140816738
chasmplus,chasmplus_ov_score,2.2859521698170848e-05,7.562304083789107e-05,0.0016812938110694,0.0024672146785305,0.0024672146785305
conservation,gerp_gerp_nr,-6.857794886984125e-05,0.0012214415002461,0.0009824253755454,0.0023758896815968,0.0023758896815968
bayesdel,bayesdel_bayesdel_noaf_rankscore,0.0,0.0,-0.0020707924523585,0.0002071642544014,0.0020707924523585
position,original_input_pos,-0.000182874332078,0.0010714264149885,-0.0016754495195265,0.0020452691267589,0.0020452691267589
chasmplus,chasmplus_laml_pval,-9.143705975156458e-05,-0.0001850940756394,-0.0018934880452776,0.0009482891290959,0.0018934880452776
chasmplus,chasmplus_lgg_pval,0.0003199919176473,-0.0001526896689711,-0.0018535432126963,0.0006298536950785,0.0018535432126963
alphamissense,alphamissense_am_pathogenicity,0.0002514599621676,-0.0001493939807133,-0.0001572399268029,0.0018455110686652,0.0018455110686652
chasmplus,chasmplus_prad_pval,-2.287456376574015e-05,-0.0001721095707802,-0.0018432408458071,0.0004484124747298,0.0018432408458071
chasmplus,chasmplus_coad_pval,-4.573749129190841e-05,0.0001250727510989,-0.0013179979660954,0.0017343660887345,0.0017343660887345
chasmplus,chasmplus_ucec_pval,2.2859932514618376e-05,-0.0001764832168028,-0.0012484279463099,0.0017112747013372,0.0017112747013372
conservation,phylop_phylop17_primate,6.859113763009183e-05,8.466277659602284e-07,-0.0016878484158749,-0.0005901476054065,0.0016878484158749
chasmplus,chasmplus_paad_pval,0.0,-0.0001641452036602,0.0005994524865357,0.0016149135985373,0.0016149135985373
chasmplus,chasmplus_ov_pval,0.0,-0.0009432387800534,-0.0006560171000898,0.0015908052925853,0.0015908052925853
chasmplus,chasmplus_score,0.0,-6.935016539738603e-05,-0.0015373283983552,-6.853276198381941e-06,0.0015373283983552
chasmplus,chasmplus_pcpg_pval,0.0,-0.0004822817649248,0.0009029927726873,0.0014481295858843,0.0014481295858843
conservation,phastcons_phastcons17way_primate,-0.0003657469014819,-0.00036490265055,-0.0014397487498689,-0.0007669055070325,0.0014397487498689
conservation,siphy_logodds,-0.0001371703498565,-0.0009130628271325,-0.001402646889474,0.0010560056345044,0.001402646889474
conservation,phastcons_phastcons470_mamm,0.0,-0.0001079533808643,-0.0004761964185787,0.0013292641366003,0.0013292641366003
chasmplus,chasmplus_cesc_pval,-2.285931628994709e-05,0.0003481907098515,-0.0001691202473361,0.0013256954989881,0.0013256954989881
chasmplus,chasmplus_coad_score,-2.6482449910769645e-08,8.632791271696582e-05,-0.0008530811749432,0.0012810218443671,0.0012810218443671
chasmplus,chasmplus_pcpg_score,0.0,-2.9036973384410917e-05,8.093691621688937e-05,0.0012294081861928,0.0012294081861928
chasmplus,chasmplus_brca_pval,0.0,-0.000291396332797,-0.0007594142808962,0.0012224457671158,0.0012224457671158
conservation,gerp_gerp_rs,2.2859521698170848e-05,-0.0001916600081339,-0.001220164590773,7.9409325745039e-05,0.001220164590773
chasmplus,chasmplus_kich_pval,4.5719043396341696e-05,-0.0002406928713291,0.0007103886096007,0.0011950364009863,0.0011950364009863
chasmplus,chasmplus_meso_pval,0.0,7.814897515583397e-05,-0.0008702215009263,0.0011535469739436,0.0011535469739436
chasmplus,chasmplus_ucs_pval,0.0,-3.0324198176878705e-05,0.0006232137410576,0.0011532459578725,0.0011532459578725
chasmplus,chasmplus_pval,-0.0001371558977396,-0.0002227268361499,0.0002238082719024,0.0011477149531749,0.0011477149531749
chasmplus,chasmplus_chol_pval,-2.285931628994709e-05,0.0001823777581802,-0.0001258639694793,0.0011460697006508,0.0011460697006508
chasmplus,chasmplus_read_pval,0.0,0.0002198190923266,-0.0011153121899791,0.0005471480269569,0.0011153121899791
chasmplus,chasmplus_acc_pval,0.0,-0.0001240938456183,-0.0011152423150579,0.0009047148675784,0.0011152423150579
chasmplus,chasmplus_read_score,0.0,0.0001294918690754,-0.0010435272319783,0.0004653912071773,0.0010435272319783
conservation,phylop_phylop470_mamm,-0.0002057338466095,7.166911898487394e-05,0.000179420577892,0.0010362478041995,0.0010362478041995
conservation,phastcons_phastcons100_vert,0.0,-9.600782778136364e-05,-0.0010119040178161,0.0003372041312242,0.0010119040178161
