group,HistGradientBoosting,LinearSVC,DecisionTree,SGDClassifier,LDA,QDA,RidgeClassifier,KNN,NearestCentroid,CosineSimilarity,mean_delta
other_vep,-0.00022855375438868286,0.0022858922993359565,-0.0011429109536775783,0.0006859167077477579,0.0006861360506543734,-0.0006803099625631859,0.00022893347725716495,-0.0011415748196544895,0.04446048742134312,0.0456128153255686,0.009076683179162303
ditto,0.0045716057427663825,0.0036570276334562113,0.00685876839025068,0.0029713846234862284,0.0018262641973100235,0.015793746118606955,0.0015975363703804035,0.004343691273821726,0.0020575387006448453,0.0022876724885446675,0.004596523553926812
metarnn,0.0004571094435563694,0.0013715664114367643,0.0018282444109684048,0.0004571524106952163,0.0011433460060640277,0.003429642757570628,0.0009148672776891908,0.0050305380109971765,0.005044527503845653,0.005502163069051713,0.0025179157301875145
bayesdel,-0.00022845917295488682,0.0006859553135981633,0.0,-0.0009141724051694444,0.0004572025733972085,0.002057447046798222,-2.0836314962302538e-07,0.0031999185695169574,0.005735485375418903,0.005502163069051713,0.0016495332006507212
population_af,0.0025142152569583853,0.00022870062437019278,0.0,-0.0011424656413073775,0.0004572025733972085,0.01098123649258198,0.0,0.0013712774943511752,-0.0027818062850399894,-0.0032393407827490117,0.0008389019732562564
alphamissense,0.00045714823096720814,0.00045724052353735,0.0,0.0004571524106952163,0.0004572025733972085,0.0006856262827024118,-0.0002287053493540414,0.0011432504900299456,0.0004575344977090223,0.0006876667431683359,0.0004574116402852657
cadd,-0.0004571843433835987,-0.00022846372882701083,0.0,-0.00022847452885599306,0.0004572025733972085,0.000456903365738226,0.0,0.0016004178050643691,0.0004470693624415434,0.000907084879214981,0.00029545553847897254
revel,0.00045714823096720814,0.0,0.0,-0.0004572641887535811,0.0,0.00022902459267859498,-0.0002287053493540414,0.0006854389829715757,0.00046025663265292227,0.001602748035852919,0.0002748646937015597
functional,-0.0004571843433835987,0.0,0.0,0.00022854453472420655,0.0,0.0011430886734909995,0.0,-0.0004575498843724102,-5.293120775795579e-06,0.00022475436628655032,6.76360225969952e-05
position,0.00022859521698159746,0.00022861888824621257,0.0,-0.0006858134528694437,0.0,0.0,0.0,-0.00022887902278700967,0.0,2.7221349438999454e-06,-4.5475623548474343e-05
conservation,-0.0006857407012332839,7.75795877538954e-08,0.0,-0.0013712561704741777,-2.0368083197830344e-07,-0.0009137852194306406,-0.0002287053493540414,-0.0018282252711262492,-0.007357285654275181,-0.007355608434545968,-0.0019740732901683765
chasmplus,0.0011428931597223801,0.001143029330764933,0.0,0.0011426824066296248,0.0004572025733972085,-0.005712299661397413,-0.0002287053493540414,-0.004344072440984004,-0.02235673023531859,-0.022122974296634568,-0.005087897451317447
