group,HistGradientBoosting,LinearSVC,DecisionTree,SGDClassifier,LDA,QDA,RidgeClassifier,KNN,NearestCentroid,CosineSimilarity,mean_delta
population_af,0.0470722058766626,0.0659111703247778,0.0574359725159689,0.0593445644042628,0.0156619128986568,0.0370086204667894,0.0208477505628745,0.0190534033127249,0.0247474908189232,0.0238550863991686,0.037093817758080946
other_vep,0.0133445304664112,0.0231859267295972,0.0045400238100697,0.0058758308339736,0.0197059848180852,0.028289044327608,0.0251937031939271,0.0161258572197099,0.0453065860401001,0.0699244224827386,0.02514919099222206
chasmplus,0.0025895716032137,0.0060308691167756,0.0154361547724728,0.014031544627801,0.0043285580693681,0.0562073356570606,0.0008601449497283,0.0115255131626028,-0.033089254845777,-0.0029065377241113,0.00750138993891346
ditto,0.0039145102864713,0.0059984546181444,0.0174014066272918,0.0003578217923336,0.0041485731287856,0.010592399566934,0.0094300251283467,0.0030944995657968,0.0025507608666924,0.0022878939840198,0.005977634556481639
bayesdel,-0.0044505759168838,0.006512856093504,0.0,-0.003297727811242,0.007799465977597,0.0037447701983254,0.0073290120738277,0.0054189178162692,0.0052841393384227,0.0042836623767672,0.00326245201465874
metarnn,0.0014438345248034,0.0004815580905791,0.0004598826523731,-0.002892405328421,0.002964317729305,0.0030568099144141,0.0024080255470771,0.0023515499185066,0.0052786492752608,0.0031668301144008,0.0018719052438299002
functional,-0.0011948036253606,0.000966312585121,0.0,-0.0028241359955577,0.0050411952383244,-6.843475240825292e-06,0.0066349931393104,-0.0017378484039448,0.0014604510822944,0.0027219613321484,0.0011061281877094674
revel,-0.0017703827494977,0.0028656812038226,0.0,-0.004595202833125,0.0002680909463708,0.0024525241094872,0.0038955872044885,0.001157340698548,0.0027565676329737,0.0011667089803096,0.00081969151933777
alphamissense,-0.0014594894522556,-0.0006597032172976,0.0004598826523731,0.0027251820852259,-0.0004535276403796,0.0024301273813968,0.0020521739083574,-0.0011321403011056,0.0009918554116865,0.0011698045128248,0.00061241653408261
cadd,-0.005392607174059,0.0002137002255619,0.0,-0.001671881219066,0.0004674953866603,0.0030352154015197,0.0019754679514227,-0.0004897959267071,0.0014333725263546,0.0014878707133514,0.00010588378850384994
position,-0.0044195616044516,-0.0001685119777835,0.0004598826523731,0.0042073129813408,0.0007154765388108,0.0037329086440487,0.0006541676891396,-0.0055548141282989,0.0,-0.0005036174961388,-8.767567009597993e-05
conservation,0.001798186943839,0.0009396636448745,0.0004598826523731,-0.0101223564539667,0.0045857604227249,0.0016161428940902,0.002008113214408,-0.0043868323633747,-0.0034075830029919,0.0014761290476722,-0.00050328930003514
