task,group,feature,baseline_f1,importance_mean,importance_std
2class,chasmplus,chasmplus_laml_score,0.9871998495329252,-4.571863257989417e-05,9.143726515978836e-05
2class,chasmplus,chasmplus_coad_pval,0.9871998495329252,-4.573749129190841e-05,0.0001371431476292176
2class,chasmplus,chasmplus_chol_score,0.9871998495329252,-6.857794886984125e-05,0.00010475454723361962
2class,chasmplus,chasmplus_kirp_pval,0.9871998495329252,-6.857794886984125e-05,0.00010475454723361962
2class,chasmplus,chasmplus_stad_score,0.9871998495329252,-6.857794886984125e-05,0.00010475454723361962
2class,chasmplus,chasmplus_thca_score,0.9871998495329252,-6.857794886984125e-05,0.00010475454723361962
2class,chasmplus,chasmplus_laml_pval,0.9871998495329252,-9.143705975156458e-05,0.00015163198372662758
2class,chasmplus,chasmplus_stad_pval,0.9871998495329252,-9.143705975156458e-05,0.00015163198372662758
2class,chasmplus,chasmplus_lusc_pval,0.9871998495329252,-0.0001142723917691435,0.00015333391901420853
2class,chasmplus,chasmplus_pval,0.9871998495329252,-0.0001371558977396825,0.00011198732155852359
2class,chasmplus,chasmplus_uvm_pval,0.9871998495329252,-0.00022859316289947085,0.0
2class,conservation,phylop_phylop17_primate,0.9871998495329252,6.859113763009183e-05,0.00017852312557280897
2class,conservation,gerp_gerp_rs,0.9871998495329252,2.2859521698170848e-05,6.857856509451254e-05
2class,conservation,gerp_gerp_rs_rank,0.9871998495329252,0.0,0.0
2class,conservation,phastcons_phastcons100_vert,0.9871998495329252,0.0,0.0
2class,conservation,phastcons_phastcons100_vert_r,0.9871998495329252,0.0,0.0
2class,conservation,phastcons_phastcons470_mamm,0.9871998495329252,0.0,0.0
2class,conservation,phastcons_phastcons470_mamm_r,0.9871998495329252,0.0,0.0
2class,conservation,phastcons_phastcons17way_primate_r,0.9871998495329252,0.0,0.0
2class,conservation,phylop_phylop100_vert_r,0.9871998495329252,0.0,0.0
2class,conservation,phylop_phylop470_mamm_r,0.9871998495329252,0.0,0.0
2class,conservation,phylop_phylop17_primate_r,0.9871998495329252,0.0,0.0
2class,conservation,siphy_logodds_rank,0.9871998495329252,0.0,0.0
2class,conservation,gerp_gerp_nr,0.9871998495329252,-6.857794886984125e-05,0.00010475454723361962
2class,conservation,siphy_logodds,0.9871998495329252,-0.00013717034985656352,0.00015162302977414545
2class,conservation,phylop_phylop470_mamm,0.9871998495329252,-0.00020573384660952377,6.857794886984125e-05
2class,conservation,phylop_phylop100_vert,0.9871998495329252,-0.0002285963776580857,0.0002504002880478077
2class,conservation,phastcons_phastcons17way_primate,0.9871998495329252,-0.000365746901481967,0.0002545482146771942
2class,ditto,ditto_score,0.9871998495329252,0.147872244285282,0.004204643708864849
2class,metarnn,metarnn_score,0.9871998495329252,0.028205189742494065,0.0017587236259524106
2class,metarnn,metarnn_rank_score,0.9871998495329252,2.2855437543423118e-05,6.856631263026936e-05
2class,position,original_input_pos,0.9871998495329252,-0.00018287433207805348,0.00013715550125735244
2class,position,hg19_pos,0.9871998495329252,-0.0002742965575465384,0.00017104716951276777
2class,revel,revel_score,0.9871998495329252,6.857877050273631e-05,0.00014637194041050756
2class,revel,revel_rankscore,0.9871998495329252,0.0,0.0
3class,alphamissense,alphamissense_am_pathogenicity,0.9459342485558792,-0.00014939398071337485,0.0007635809595812154
3class,bayesdel,bayesdel_bayesdel_addaf_score,0.9459342485558792,0.00016299636360638247,0.0006154117193274089
3class,bayesdel,bayesdel_bayesdel_addaf_rankscore,0.9459342485558792,0.0,0.0
3class,bayesdel,bayesdel_bayesdel_noaf_rankscore,0.9459342485558792,0.0,0.0
3class,bayesdel,bayesdel_bayesdel_noaf_score,0.9459342485558792,-0.00045238745352892406,0.000699498061304643
3class,chasmplus,chasmplus_gbm_pval,0.9459342485558792,0.000429816718284004,0.0003848381277764117
3class,chasmplus,chasmplus_luad_pval,0.9459342485558792,0.00042960887529790436,0.00041378253639084663
3class,chasmplus,chasmplus_brca_score,0.9459342485558792,0.00041513666866862533,0.0002614613130956505
3class,chasmplus,chasmplus_esca_score,0.9459342485558792,0.00035838967337866736,0.0002641380717319964
