group,4class,2class,5class,3class,max_abs
population_af,0.04707220587666261,0.0025142152569583853,0.0405434703999783,0.005431080323835102,0.04707220587666261
functional,-0.0011948036253606187,-0.0004571843433835987,0.026558472656657228,0.04694461395773897,0.04694461395773897
other_vep,0.013344530466411264,-0.00022855375438868286,0.013737862090425268,0.007311490840143153,0.013737862090425268
cadd,-0.005392607174059094,-0.0004571843433835987,-6.145276073521444e-05,-0.0014772318204774315,0.005392607174059094
ditto,0.003914510286471384,0.0045716057427663825,0.00012674152429370533,0.003341157558170993,0.0045716057427663825
metarnn,0.0014438345248034556,0.0004571094435563694,0.004465349731368695,0.0005215346840331536,0.004465349731368695
bayesdel,-0.004450575916883803,-0.00022845917295488682,-0.0003709387678320075,-0.00033309086387567355,0.004450575916883803
position,-0.004419561604451672,0.00022859521698159746,0.001759073891859364,0.0028618894378301674,0.004419561604451672
revel,-0.001770382749497701,0.00045714823096720814,-0.004406866670187526,-0.0015158792057941017,0.004406866670187526
chasmplus,0.002589571603213714,0.0011428931597223801,0.0028021213759199526,-0.00022552323106328487,0.0028021213759199526
alphamissense,-0.0014594894522556023,0.00045714823096720814,-0.002791200003088634,-0.0017339160563998313,0.002791200003088634
conservation,0.0017981869438390419,-0.0006857407012332839,-7.463295492604605e-05,2.020259516155587e-05,0.0017981869438390419
