group,HistGradientBoosting,AdaBoost,LinearSVC,DecisionTree,SGDClassifier,LDA,QDA,RidgeClassifier,KNN,NearestCentroid,CosineSimilarity,mean_delta
population_af,0.0405434703999783,0.05252493490080068,0.057338413801465316,0.04647830307676626,0.039029948345672194,0.012271899910095252,0.0387592685987761,0.01737909756834488,0.02173761831655252,0.02737308868785021,0.01159012321625813,0.033184196983869076
functional,0.026558472656657228,0.06296004417673029,0.023228513295467157,0.05358948836546018,0.01634704094391104,0.010458059308770529,0.04400247066116525,0.012246097401681255,0.014983790247542372,0.0014958317358698126,6.621531318229401e-05,0.02417600219149431
other_vep,0.013737862090425268,0.011810458544173397,0.022357947563308667,0.017830470871593063,-0.002535599507581421,0.03143647522352533,0.018317776527628227,0.026273948123476387,0.007826271699254317,0.04358220570584248,0.040766093812293014,0.021036719150358065
ditto,0.00012674152429370533,0.006473071080664972,0.0017096477222127149,-0.0005303256210688057,0.005657308644900438,0.0057223014562451935,0.00812424519100563,0.0033655206903412394,0.00108879896524261,0.0027415356935938107,0.000932406542277997,0.0032192047172463186
metarnn,0.004465349731368695,0.011685498908505343,0.001074667073056923,0.00206373693609585,-0.0029081357259603813,0.004248489984932435,0.0017752421529951823,0.00028715728968198295,0.0015278190709464567,0.004193813851397721,0.0010907479641653062,0.0026822170215623194
chasmplus,0.0028021213759199526,0.003467818422779434,0.007539807158260303,-0.002326102512387629,-0.010565725264877202,0.004914263677869957,0.05791463761245752,0.007005116108890874,-0.0007473479805751859,-0.027652591325382225,-0.020357453660147795,0.0019995039648007277
bayesdel,-0.0003709387678320075,0.0004995292403264795,0.008076139936119553,-0.008644579009539188,-0.005248335370967472,0.004330136840969723,0.004603222755944492,-0.0017646844352018354,0.002110430363325033,0.007528180354110514,0.003163913493546333,0.0012984559455274205
position,0.001759073891859364,0.0,-0.00036993459439438325,0.0068397416991132776,-0.009371814071359341,0.000589556070956454,0.0006943818496145671,-0.0005667103099095128,0.002552787248810806,0.000764620595548493,-0.0006980674942704823,0.0001994213532699311
alphamissense,-0.002791200003088634,-0.002586407152463277,-0.0005106397134199137,0.0,0.00035047038686808474,-5.361540779902363e-05,-0.0005405598647777454,0.0006617293721391526,0.0006253298497090887,0.00038519611148502,0.0014740567322751308,-0.000271421789915647
cadd,-6.145276073521444e-05,0.0,0.0020475499648979767,0.0,-0.006087966739533268,0.0002222116229486648,0.0032342229155076785,-0.0012876228806838474,-0.0025526008693654845,-0.0004226785156632995,-0.0005308782019852742,-0.0004944741331465517
revel,-0.004406866670187526,0.0,0.0019047469677740958,0.0,-0.0011562600449921412,-0.002093044416903944,0.0010759465024370307,-0.0023874030230810472,-0.002089803659027889,0.0012248593181896084,0.0014398928001150835,-0.0005898120205160663
conservation,-7.463295492604605e-05,0.0,8.796723631787629e-05,0.0,-0.009292738256106325,-0.0005509520403678136,-0.0054826134329341025,-0.002667076365979959,-0.009183746786658453,-0.009403282254555612,-0.0021642447583742896,-0.0035210290557804295
