combo,n_estimators,max_depth,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
7,500,6,0.7982789521032739,0.007066345476860357,0.7981938023108643,0.006839684071625661,14.80761456489563,1
5,300,8,0.7969326619181017,0.007030351245895844,0.7968790103294818,0.0068944912445273576,13.451364135742187,2
8,500,8,0.7968468139477244,0.005586783636315569,0.7968222267586658,0.005527013655249504,21.79365282058716,3
2,100,8,0.7959979751480197,0.009527426985642082,0.7959073694524966,0.009438799770386289,5.254872035980225,4
4,300,6,0.7957473864351113,0.006733546180204391,0.7956789450046953,0.006532305824480207,8.965905904769897,5
6,500,4,0.7938190721333341,0.005338288699301279,0.7937931164006042,0.005135971634088699,9.254767560958863,6
3,300,4,0.7923269005602578,0.0063468502025768765,0.7923071898093333,0.006110070241523695,5.388887596130371,7
1,100,6,0.7919613939354739,0.008864627106370766,0.7919637284121994,0.008646093711314536,3.3111520290374754,8
0,100,4,0.7810623110069819,0.005950210547806243,0.781162029967746,0.005868527987492135,2.0717814445495604,9
